	Word	PoS	FrSp		LogLike	FrWr
	lovely	Adj	231	+	3379.6	43
	5	Num	5	-	3363.4	195
	give	Verb	845	+	3270.5	405
	please	Adv	361	+	3259.4	106
	mind	Verb	246	+	3245.2	51
	among	Prep	26	-	3242.3	252
	quid	NoC	103	+	3232.8	4
	probably	Adv	585	+	3222.7	237
	fifteen	Num	207	+	3222.3	36
	US	NoP	2	-	3220.5	176
	p.	NoC	0	-	3171.2	161
	o'clock	Adv	188	+	3095.5	30
	fucking	Adj	114	+	3088.9	7
	big	Adj	549	+	3054.5	221
	eyes	NoC	63	-	3032.6	324
	fucking	Adv	92	+	3032.2	3
	maybe	Adv	301	+	2996.1	82
	else	Adv	475	+	2990.5	178
	us	Pron	1059	+	2981.0	573
	both	Adv	111	-	2943.9	409
	political	Adj	71	-	2928.7	333
	course*	Adv	75	+	2925.9	1
	held	Verb	56	-	2920.4	302
	where	Conj	160	-	2907.1	492
	world	NoC	248	-	2867.8	629
	ones	NoC	318	+	2856.9	94
	during	Prep	152	-	2833.1	473
	1989	Num	1	-	2830.5	149
	thought	Verb	845	+	2811.8	430
	says	Verb	740	+	2804.6	358
	state	NoC	108	-	2796.8	393
	int	Uncl	59	+	2778.3	0
	1990	Num	5	-	2774.9	166
	week	NoC	631	+	2765.9	286
	dear	Int	157	+	2762.8	23
	Mr.	NoC	5	-	2751.0	164
	20	Num	1	-	2748.4	146
	I / i	Lett	193	+	2743.6	37
	mine	Pron	177	+	2739.9	31
	under	Prep	234	-	2659.7	590
	minus	Prep	88	+	2636.2	4
	ha	Uncl	56	+	2633.2	0
	take	Verb	1149	+	2625.5	665
	obviously	Adv	296	+	2620.9	89
	morning	NoC	459	+	2610.4	183
	although	Conj	160	-	2604.6	468
	international	Adj	38	-	2595.2	242
	start	Verb	365	+	2575.0	128
	eleven	Num	154	+	2566.5	24
	into	Prep	1067	-	2560.1	1700
	himself	Pron	87	-	2542.2	337
	6	Num	5	-	2518.8	149
	12	Num	1	-	2494.4	135
	including	Prep	45	-	2487.9	252
	1991	Num	3	-	2472.9	142
	research	NoC	59	-	2461.7	279
	government	NoC	295	-	2425.5	660
	eighteen	Num	131	+	2416.2	18
	&	Conj	7	-	2402.1	151
	basically	Adv	134	+	2390.5	19
	off	Adv	831	+	2384.9	446
	became	Verb	45	-	2381.7	244
	this	DetP	5627	+	2379.6	4506
	against	Prep	257	-	2347.4	597
	da	Uncl	64	+	2339.5	1
	made	Verb	539	-	2336.9	990
	half	DetP	440	+	2322.1	182
	economic	Adj	53	-	2315.7	257
	former	DetP	21	-	2312.2	187
	found	Verb	209	-	2304.7	521
	gone	Verb	418	+	2299.8	170
	hon.	Adj	0	-	2293.9	118
	award	NoC	13	-	2288.3	163
	30	Num	2	-	2275.2	127
	N / n	Lett	157	+	2274.1	30
	till	Prep	122	+	2271.6	17
	over there	Adv	97	+	2271.5	9
	funny	Adj	161	+	2265.6	31
	greenbelt	NoC	51	+	2263.5	0
	minister	NoC	56	-	2249.8	258
	suppose	Verb	275	+	2237.7	88
	15	Num	1	-	2236.9	122
	back	Adv	1211	+	2229.6	745
	would	VMod	3278	+	2223.9	2467
	sure	Adj	479	+	2211.1	212
	1988	Num	0	-	2207.9	115
	use	NoC	99	-	2204.7	334
	large	Adj	116	-	2195.6	363
	after	Prep	539	-	2180.7	972
	daddy	NoC	106	+	2174.5	12
	company	NoC	158	-	2157.8	429
	seemed	Verb	60	-	2144.8	259
	system	NoC	189	-	2141.5	476
	1992	Num	1	-	2138.6	114
	England	NoP	56	-	2135.2	252
	absolutely	Adv	183	+	2104.8	44
	'd	Verb	577	+	2075.1	285
	7	Num	3	-	2065.0	119
	today	Adv	503	+	2058.0	236
	several	DetP	64	-	2057.7	260
	study	NoC	38	-	2046.9	209
	London	NoP	132	-	2022.6	377
	century	NoC	42	-	2022.1	215
	whose	DetP	43	-	2013.3	216
	ask	Verb	399	+	1997.2	170
	go	NoC	98	+	1978.5	12
	court	NoC	94	-	1961.8	307
	bet	Verb	97	+	1947.7	12
	each	DetP	243	-	1947.3	539
	urgh	Int	44	+	1922.0	0
	British	Adj	141	-	1921.4	382
	11	Num	1	-	1919.5	103
	little	DetP	37	-	1917.5	200
	foreign	Adj	27	-	1909.8	177
	minute	NoC	219	+	1907.0	66
	led	Verb	24	-	1901.2	170
	II / ii	Num	0	-	1893.6	98
	point	NoC	637	+	1887.5	338
	in~*	Verb	40	+	1885.4	0
	tt	Int	49	+	1884.4	1
	act	NoC	56	-	1876.8	234
	become	Verb	109	-	1866.2	326
	law	NoC	88	-	1863.2	291
	Britain	NoP	77	-	1857.7	271
	despite	Prep	22	-	1846.0	160
	8	Num	3	-	1845.1	108
	said	Verb	2685	+	1838.7	2018
	when	Conj	2255	+	1836.7	1649
	tomorrow	Adv	234	+	1831.4	76
	almost	Adv	118	-	1831.4	339
	life	NoC	293	-	1821.6	598
	money	NoC	637	+	1818.7	343
	I / i	Num	0	-	1816.7	96
	thirteen	Num	97	+	1816.5	13
	cor	Int	50	+	1815.7	1
	1987	Num	0	-	1807.4	95
	studies	NoC	18	-	1801.2	149
	councillor	NoC	104	+	1795.9	16
	bloody	Adv	92	+	1790.2	12
	patients	NoC	36	-	1788.9	189
	about	Adv	730	+	1785.4	414
	used	Verb	225	-	1783.4	497
	public	Adj	102	-	1762.4	306
	fourteen	Num	108	+	1745.1	18
	sixteen	Num	107	+	1734.0	17
	try	Verb	396	+	1728.1	180
	described	Verb	26	-	1725.5	162
	herself	Pron	38	-	1723.7	187
	gets	Verb	204	+	1718.5	63
	face	NoC	103	-	1704.3	303
	national	Adj	165	-	1698.6	401
	will	VMod	1890	-	1698.5	2537
	further*	Adj	63	-	1698.4	234
	of course	Adv	543	+	1695.7	283
	been	Verb	2082	-	1693.2	2756
	pick	Verb	171	+	1690.7	47
	was	Verb	8097	-	1689.4	9368
	death	NoC	57	-	1685.2	222
	since	Conj	112	-	1681.3	316
	whatever	DetP	289	+	1663.0	114
