	Word	PoS	FrSp		LogLike	FrWr
	criticism	NoC	12	-	422.9	52
	usual	Adj	22	-	422.2	69
	speech	NoC	31	-	422.1	84
	released	Verb	14	-	422.1	55
	monetary	Adj	3	-	422.0	31
	murmured	Verb	0	-	421.6	21
	crisis	NoC	19	-	420.9	64
	distinction	NoC	9	-	420.9	45
	45	Num	1	-	420.7	25
	passed	Verb	50	-	420.5	113
	S.	NoP	0	-	420.2	21
	blimey	Int	14	+	419.1	1
	Kingdom	NoP	10	-	419.0	48
	mere	Adj	5	-	418.7	37
	plant	NoC	28	-	417.3	80
	million	NoC	157	-	417.0	256
	liability	NoC	8	-	416.9	43
	represented	Verb	16	-	416.5	58
	network	NoC	27	-	416.4	78
	unlikely	Adj	17	-	416.1	61
	texts	NoC	1	-	416.0	26
	granted	Verb	12	-	416.0	50
	circumstances	NoC	49	-	414.1	111
	understanding	NoC	29	-	413.4	81
	council	NoC	424	+	413.2	300
	complete	Adj	42	-	413.1	100
	working	Verb	282	+	412.8	184
	palace	NoC	11	-	412.3	48
	leading	Verb	15	-	412.0	56
	involving	Verb	10	-	411.9	46
	microphone	NoC	28	+	411.6	5
	homework	NoC	30	+	411.5	6
	limited	Adj	22	-	411.2	69
	important	Adj	280	-	411.2	405
	findings	NoC	5	-	411.0	36
	oil	NoC	48	-	410.6	109
	latest	Adj	23	-	410.2	70
	breath	NoC	14	-	409.4	55
	leaving	Verb	44	-	408.9	102
	whoops	Int	11	+	408.6	0
	examined	Verb	6	-	408.6	39
	working-class	Adj	0	-	408.4	21
	league	NoC	35	-	408.3	89
	reflected	Verb	8	-	408.3	42
	aim	NoC	14	-	408.2	54
	equals	Verb	25	+	408.1	4
	images	NoC	6	-	407.8	39
	m	NoC	0	-	407.5	21
	learned	Verb	12	-	407.5	50
	develop	Verb	37	-	407.2	92
	reality	NoC	23	-	406.7	70
	per	Prep	72	-	406.7	142
	create	Verb	34	-	406.5	87
	bigger	Adj	76	+	406.4	31
	B.	NoP	0	-	406.2	21
	program	NoC	8	-	405.7	43
	dismissed	Verb	4	-	405.4	33
	judicial	Adj	2	-	405.1	27
	principle	NoC	34	-	404.8	87
	Pacific	NoP	3	-	404.8	30
	executive	NoC	31	-	404.1	83
	account	NoC	72	-	403.8	142
	and/or	Conj	0	-	403.7	22
	earlier	Adj	27	-	403.5	75
	claims	Verb	7	-	402.9	40
	gaze	NoC	1	-	402.4	24
	decision	NoC	97	-	402.2	176
	notably	Adv	1	-	402.1	26
	1967	Num	0	-	401.6	23
	India	NoP	13	-	401.6	51
	researchers	NoC	2	-	401.4	28
	telling	Verb	108	+	401.2	53
	eg	Adv	0	-	401.2	20
	entry	NoC	15	-	401.1	56
	deeply	Adv	7	-	400.9	41
	explanation	NoC	13	-	400.7	51
	foundation	NoC	7	-	400.4	41
	defeat	NoC	4	-	400.3	33
	office	NoC	168	-	400.1	267
	valley	NoC	11	-	400.0	47
	clinical	Adj	4	-	400.0	33
	settlement	NoC	90	+	399.9	41
	establishment	NoC	9	-	399.8	44
	Irish	Adj	20	-	399.5	63
	path	NoC	22	-	399.1	67
	relevant	Adj	33	-	398.9	85
	mate	NoC	45	+	398.7	13
	resulted	Verb	4	-	398.6	32
	illustrated	Verb	2	-	398.5	28
	grew	Verb	12	-	398.4	50
	unique	Adj	11	-	398.2	47
	survey	NoC	32	-	398.0	84
	mental	Adj	19	-	397.9	62
	positions	NoC	9	-	397.6	43
	combination	NoC	11	-	396.7	48
	serious	Adj	64	-	396.7	131
	fella	NoC	16	+	396.6	1
	police	NoC	186	-	396.5	288
	empire	NoC	7	-	396.4	40
	fact	NoC	492	+	396.0	360
	service	NoC	204	-	395.4	312
	fully	Adv	40	-	395.1	95
	duke	NoC	6	-	395.0	37
	rubbish	NoC	55	+	394.7	19
	subject to	Prep	15	-	394.4	55
	E.	NoP	0	-	394.2	20
	limited	Verb	9	-	394.0	44
	examine	Verb	7	-	393.8	40
	forgot	Verb	43	+	393.2	13
	writers	NoC	7	-	393.1	39
	Edinburgh	NoP	20	-	393.0	64
	flipping	Adj	13	+	393.0	1
	La	NoP-	2	-	392.5	26
	or	Conj	3357	-	392.5	3747
	shareholders	NoC	5	-	392.4	34
	wild	Adj	15	-	392.4	56
	investment	NoC	54	-	392.1	115
	third	Ord	132	-	391.0	220
	lies	Verb	9	-	390.8	44
	staring	Verb	4	-	390.8	32
	aged	Prep	3	-	390.5	30
	currently	Adv	27	-	390.2	75
	billion	NoC	13	-	390.0	51
	class	NoC	108	-	390.0	189
	gained	Verb	8	-	389.9	40
	offered	Verb	52	-	389.4	112
	assumed	Verb	10	-	389.1	45
	visible	Adj	4	-	388.7	32
	damage	NoC	28	-	388.5	76
	interpretation	NoC	11	-	388.4	47
	conduct	NoC	4	-	387.9	32
	provisions	NoC	10	-	387.7	45
	darling	NoC	54	+	387.7	19
	candidates	NoC	9	-	387.5	44
	never	Adv	700	+	387.4	542
	up to	Prep	228	+	386.8	144
	send	Verb	137	+	386.4	74
	enemy	NoC	6	-	385.9	37
	soil	NoC	10	-	385.7	45
	debt	NoC	17	-	385.4	58
	returning	Verb	6	-	385.3	36
	IRA	NoP	0	-	384.8	20
	neither	Adv	17	-	384.7	58
	native	Adj	2	-	384.6	27
	frequency	NoC	3	-	384.4	31
	low	Adj	91	-	384.3	166
	allowing	Verb	11	-	384.1	47
	32	Num	0	-	383.7	22
	1969	Num	0	-	383.4	22
	result	Verb	6	-	383.2	37
	relative	Adj	9	-	382.7	43
	communication	NoC	22	-	382.5	66
	losses	NoC	8	-	382.1	42
	continues	Verb	9	-	382.1	43
	gave	Verb	148	-	381.5	239
	car	NoC	379	+	381.2	267
	1945	Num	0	-	380.3	20
	Freud	NoP	43	+	379.9	13
	Italy	NoP	16	-	379.7	55
	courses	NoC	34	-	379.7	86
	artist	NoC	10	-	379.0	44
	aspects	NoC	29	-	379.0	78
	resignation	NoC	1	-	378.9	24
	entire	Adj	14	-	378.5	52
	generally	Adv	59	-	378.5	122
	competition	NoC	44	-	378.5	100
	reports	Verb	7	-	377.9	38
	miss*	NoC	42	-	377.8	96
	H.	NoP	0	-	377.8	19
	environment	NoC	70	-	377.7	137
	coalition	NoC	2	-	377.6	27
	1964	Num	0	-	377.4	20
	reduced	Verb	25	-	377.1	71
	through	Adv	155	+	376.9	88
	vision	NoC	11	-	376.5	46
	famous	Adj	25	-	375.8	70
	acquisition	NoC	3	-	375.7	29
	consumer	NoC	12	-	375.6	47
	65	Num	0	-	375.4	19
	substantial	Adj	23	-	375.3	67
	1,000	Num	0	-	375.3	21
	brilliant	Adj	73	+	375.2	31
	greatest	Adj	16	-	375.0	55
	specific	Adj	58	-	375.0	119
	threes	Num	14	+	375.0	1
	food	NoC	117	-	374.8	198
	ministry	NoC	15	-	374.6	54
	proportion	NoC	23	-	374.4	68
	protection	NoC	35	-	374.3	86
	animal	NoC	26	-	374.3	72
	Luke	NoP	7	-	373.9	39
	yum	Int	10	+	373.8	0
	rather than	Prep	101	-	373.5	177
	turn	Verb	198	+	373.4	121
	displayed	Verb	2	-	373.3	27
	corporate	Adj	13	-	373.0	50
	learning	NoC	18	-	373.0	59
	authors	NoC	3	-	372.8	28
	prison	NoC	24	-	372.5	69
	adopted	Verb	16	-	371.2	55
	dominant	Adj	5	-	370.7	33
	George	NoP	56	-	370.6	117
	remembered	Verb	18	-	370.5	58
	washing	NoC	41	+	370.1	12
	1930s	Num	0	-	370.1	19
	profits	NoC	20	-	369.6	62
	emperor	NoC	1	-	368.7	24
	Brown	NoP	9	-	368.4	41
	rare	Adj	13	-	368.4	50
	tone	NoC	11	-	367.5	45
	close	Adj	67	-	367.3	132
	challenge	NoC	17	-	366.7	57
	responsible	Adj	45	-	366.6	100
	constitutional	Adj	5	-	366.5	34
	injury	NoC	13	-	366.1	50
	och	Int	13	+	365.6	1
	son	NoC	72	-	365.0	138
	alliance	NoC	5	-	365.0	34
	MPs	NoC	3	-	364.9	28
	prove	Verb	20	-	364.8	62
	electronic	Adj	7	-	364.8	37
	Ulster	NoP	2	-	364.7	27
	rapidly	Adv	13	-	364.6	49
	ran	Verb	40	-	364.6	93
	closed	Verb	34	-	364.3	84
	evident	Adj	3	-	364.3	29
	he	Pron	7277	+	364.2	6756
	400	Num	0	-	363.9	19
	advanced	Adj	6	-	363.4	36
	need	NoC	101	-	363.1	176
	later	Adj	33	-	362.9	83
	involves	Verb	11	-	362.7	45
	C	NoP	0	-	362.7	21
	catholic	Adj	6	-	362.7	35
	rejected	Verb	9	-	362.2	42
	west	NoC	69	-	362.2	134
	USSR	NoP	0	-	362.1	19
	heavily	Adv	10	-	362.1	44
	race	NoC	31	-	362.0	79
	33	Num	0	-	361.9	19
	purpose	NoC	44	-	361.5	99
	points	Verb	5	-	361.4	33
	finance	NoC	19	-	361.3	60
	crown	NoC	17	-	361.2	55
	reveal	Verb	3	-	361.2	29
	access	NoC	49	-	361.0	106
	W.	NoP	0	-	360.9	18
	concern	NoC	46	-	360.6	102
	cell	NoC	19	-	360.5	59
	Italian	Adj	10	-	360.4	44
	credit	NoC	29	-	360.1	76
	encouraged	Verb	14	-	359.8	50
	Harry	NoP	13	-	359.5	50
	employees	NoC	21	-	359.3	63
	strategies	NoC	4	-	359.1	30
	steps	NoC	26	-	359.0	72
	writer	NoC	9	-	358.7	41
	conflict	NoC	19	-	358.5	60
	numerous	Adj	6	-	358.2	35
	ay	Int	14	+	358.2	1
	shoulders	NoC	11	-	358.2	46
	characteristics	NoC	9	-	358.2	41
	assessment	NoC	27	-	358.0	72
	aircraft	NoC	23	-	357.8	66
	lifted	Verb	9	-	357.5	42
	2000	Num	0	-	357.0	18
	Belfast	NoP	8	-	356.9	39
	inquiry	NoC	7	-	356.9	38
	Northern	NoP-	12	-	356.9	47
	Hong	NoP	4	-	356.4	31
	therefore	Adv	152	-	356.2	241
	determination	NoC	4	-	355.9	31
	asking	Verb	111	+	355.3	57
	~na*	Inf	11	+	355.3	0
	purposes	NoC	21	-	355.1	63
	glass	NoC	46	-	355.0	101
	Washington	NoP	7	-	354.8	36
	extended	Verb	10	-	354.3	43
	vital	Adj	17	-	354.3	55
	white	Adj	131	-	354.2	214
	crucial	Adj	13	-	353.9	48
	formerly	Adv	1	-	353.5	22
	Moscow	NoP	5	-	352.6	33
	radical	Adj	8	-	352.3	40
	confidence	NoC	29	-	352.2	75
	HIV	NoP	0	-	352.1	18
	x	Prep	0	-	351.9	18	
	constructed	Verb	3	-	351.9	27
	direction	NoC	40	-	351.7	92
	daily	Adj	19	-	351.5	59
	Jesus	NoP	100	+	351.5	50
	black	Adj	147	-	351.5	234
	took	Verb	287	-	351.4	404
	autonomy	NoC	0	-	351.4	20
	umm	Int	11	+	351.3	0
	operation	NoC	50	-	350.9	106
	aimed	Verb	8	-	350.8	39
	died	Verb	79	-	350.7	147
	authorities	NoC	72	-	350.4	136
	abandoned	Verb	4	-	350.0	29
	San	NoP-	3	-	349.9	28
	easily	Adv	49	-	349.7	104
	assets	NoC	12	-	349.7	47
	Gloucester	NoP	6	-	349.4	35
	blood	NoC	51	-	348.9	107
	at once	Adv	8	-	348.9	40
	costs	NoC	65	-	347.9	126
	passage	NoC	11	-	347.5	44
	grinned	Verb	0	-	347.1	20
	victim	NoC	10	-	347.0	43
	volume	NoC	19	-	346.8	58
	fall	NoC	11	-	346.6	45
	chief	Adj	33	-	346.3	80
	band	NoC	27	-	346.2	72
	future	Adj	39	-	346.2	90
	remarkable	Adj	8	-	346.2	39
	alternative	Adj	17	-	346.1	55
	deep	Adj	35	-	345.5	84
	practitioners	NoC	1	-	345.3	22
	edge	NoC	32	-	345.3	80
	discussed	Verb	29	-	345.1	75
	content	NoC	13	-	344.9	49
	36	Num	0	-	344.9	19
	killed	Verb	40	-	344.8	91
	critical	Adj	21	-	344.8	62
	product	NoC	58	-	344.7	117
	focus	NoC	9	-	344.6	41
	command	NoC	8	-	344.2	37
	offer	NoC	23	-	343.8	64
	Greek	Adj	5	-	343.5	32
	once	Adv	114	-	343.3	191
	reach	Verb	28	-	343.0	73
	Queen	NoC	34	-	342.6	82
	y'know	Int	17	+	342.5	2
	animals	NoC	40	-	342.5	91
	move	NoC	28	-	342.5	72
	global	Adj	8	-	342.4	39
	province	NoC	2	-	342.4	25
	trial	NoC	26	-	342.2	69
	laughter	NoC	2	-	342.2	25
	Kong	NoP-	5	-	342.0	31
	toilet	NoC	40	+	342.0	13
	editor	NoC	10	-	341.9	42
	miss	Verb	71	+	341.1	31
	bag	NoC	97	+	341.1	48
	summit	NoC	3	-	341.1	28
	autumn	NoC	10	-	340.8	43
	analysed	Verb	0	-	340.7	20
	origin	NoC	5	-	340.7	32
	knock	Verb	35	+	340.6	10
	societies	NoC	13	-	340.5	47
	cities	NoC	13	-	340.3	47
	viewed	Verb	2	-	340.2	23
	chemical	Adj	7	-	340.1	36
	arab	Adj	2	-	340.0	25
	socialist	Adj	7	-	340.0	36
	bugger	NoC	19	+	339.9	3
	1994	Num	0	-	339.7	18
	lake	NoC	10	-	339.7	42
	significantly	Adv	12	-	339.5	45
	payments	NoC	13	-	339.4	48
	familiar	Adj	21	-	339.3	61
	guide	NoC	15	-	339.3	51
	decided	Verb	89	-	338.9	158
	combined	Verb	4	-	338.8	30
	150	Num	1	-	338.0	20
	frequent	Adj	3	-	338.0	26
	Spencers	NoP	10	+	338.0	0
	quality	NoC	99	-	337.9	170
	universal	Adj	4	-	337.8	28
	Christian	Adj	24	-	337.6	66
	widespread	Adj	7	-	337.3	35
	straight away	Adv	27	+	336.5	6
	north-east	NoC	0	-	336.2	19
	package	NoC	21	-	336.0	61
	joined	Verb	31	-	335.9	77
	severe	Adj	14	-	335.9	50
	indicated	Verb	13	-	335.8	47
	weapons	NoC	11	-	335.5	43
	recovery	NoC	10	-	335.5	41
	Berlin	NoP	4	-	335.4	30
	chosen	Verb	16	-	335.4	53
	federal	Adj	10	-	335.3	42
	concentration	NoC	10	-	335.1	42
	simple	Adj	81	-	335.0	147
	awareness	NoC	8	-	335.0	39
	1965	Num	0	-	334.8	18
	remarked	Verb	0	-	334.7	19
	reduce	Verb	30	-	334.7	76
	occurs	Verb	7	-	334.6	36
	tension	NoC	7	-	334.3	36
	Dec	NoP	0	-	334.0	18
	majority	NoC	51	-	333.6	105
	trade	NoC	122	-	333.5	199
	difficulties	NoC	29	-	333.4	73
	judgment	NoC	7	-	333.4	36
	helped	Verb	34	-	333.3	81
	greatly	Adv	7	-	333.1	36
	recalled	Verb	1	-	333.0	20
	she	Pron	4136	+	332.9	3762
	*	Uncl	0	-	332.9	17
	forest	NoC	30	-	332.7	75
	consumption	NoC	7	-	332.7	36
	DC	NoP	0	-	332.4	17
	stepped	Verb	5	-	332.3	32
	detailed	Adj	24	-	332.2	65
	twos	Num	14	+	332.1	1
	anywhere	Adv	79	+	331.8	37
	America	NoP	53	-	331.7	109
	1966	Num	0	-	331.7	18
	affected	Verb	19	-	331.4	58
	distinct	Adj	7	-	331.4	35
	holder	NoC	5	-	331.3	31
	home	NoC	237	-	331.2	340
	centres	NoC	18	-	330.9	56
	regime	NoC	8	-	330.8	38
	ordered	Verb	16	-	330.6	53
	controls	NoC	7	-	330.5	35
	day	NoC	746	+	330.4	594
	effort	NoC	35	-	330.2	83
	Q / q	Lett	44	+	330.0	15
	adult	NoC	14	-	329.9	49
	subsequently	Adv	9	-	329.9	40
	consciousness	NoC	4	-	329.6	28
	exposure	NoC	3	-	329.0	25
	parts	NoC	63	-	328.9	122
	holding	Verb	31	-	328.8	77
	Louis	NoP	2	-	328.8	23
	clause	NoC	9	-	328.8	39
	equals	NoC	16	+	328.6	2
	as long as	Conj	62	+	328.6	25
	any	Adv	48	+	328.2	17
	begin	Verb	33	-	327.9	80
	tasks	NoC	9	-	327.7	40
	best	Adv	38	-	327.4	86
	distant	Adj	5	-	327.4	32
	imperial	Adj	3	-	327.4	27
	overall	Adj	24	-	327.2	64
	believes	Verb	11	-	326.8	43
	narrow	Adj	16	-	326.5	53
	scientists	NoC	9	-	326.1	39
	G.	NoP	0	-	326.1	17
	sufficient	Adj	23	-	326.0	63
	plans	NoC	49	-	325.9	102
	estimated	Verb	7	-	325.6	35
	accused	Verb	10	-	325.6	42
	traffic	NoC	114	+	325.5	61
	journal	NoC	3	-	325.5	26
	notion	NoC	9	-	325.4	40
	D.	NoP	0	-	325.2	17
	succeeded	Verb	4	-	325.2	28
	along	Adv	118	+	325.1	64
	aims	Verb	1	-	324.8	19
	commonly	Adv	4	-	324.7	28
	identified	Verb	25	-	324.5	66
	maintained	Verb	11	-	324.0	42
	mouth	NoC	47	-	324.0	99
	quietly	Adv	12	-	323.7	45
	up to	Adv	47	-	323.6	100
	dominated	Verb	5	-	323.5	30
	bishop	NoC	5	-	323.3	31
	capitalist	Adj	2	-	323.3	23
	demonstrated	Verb	4	-	323.3	30
	fairly	Adv	114	+	323.1	62
	assistance	NoC	13	-	323.0	47
	ph	NoC	0	-	322.9	17
	intelligence	NoC	9	-	322.9	38
	determine	Verb	11	-	322.8	42
	claim	NoC	28	-	322.7	70
	urged	Verb	3	-	322.6	25
	wave	NoC	7	-	322.3	34
	ruling	Adj	2	-	321.9	25
	Williams	NoP	7	-	321.9	36
	periods	NoC	11	-	321.9	43
	carefully	Adv	32	-	321.9	76
	parliamentary	Adj	13	-	321.9	47
	duty	NoC	38	-	321.8	86
	in spite of	Prep	5	-	321.5	31
	muttered	Verb	0	-	321.3	17
	dramatic	Adj	11	-	321.3	42
	industries	NoC	13	-	321.3	47
	railway	NoC	32	-	320.7	77
	accepted	Verb	37	-	320.6	84
	000	Num	0	-	320.6	16
	concepts	NoC	4	-	320.1	29
	departure	NoC	3	-	320.0	25
	framework	NoC	11	-	319.9	43
	birth	NoC	19	-	319.8	56
	structure	NoC	80	-	319.5	143
	balance	NoC	38	-	319.4	86
	regular	Adj	34	-	319.4	80
	Spain	NoP	14	-	318.7	48
	discovery	NoC	5	-	318.5	31
	repeated	Verb	7	-	318.4	35
	cried	Verb	6	-	318.4	33
	distinctive	Adj	2	-	318.3	24
	suitable	Adj	24	-	318.3	65
	sing	Verb	49	+	317.7	18
	beliefs	NoC	3	-	317.2	26
	display	NoC	14	-	317.1	47
	base	NoC	42	-	316.8	92
	founded	Verb	5	-	316.8	30
	laboratory	NoC	5	-	316.7	30
	paragraph	NoC	56	+	316.4	23
	plc	NoC	0	-	316.2	18
	wife	NoC	107	-	315.7	178
	securities	NoC	1	-	315.6	21
	reputation	NoC	10	-	315.4	40
	'cos*	Conj	18	+	315.1	3
	ignored	Verb	7	-	314.5	35
	fancy	Verb	33	+	314.4	9
	project	NoC	84	-	314.1	148
	character	NoC	42	-	314.1	91
	dead	Adj	63	-	313.7	120
	rising	Verb	9	-	313.7	39
	newly	Adv	5	-	313.3	30
	speaker	NoC	37	-	313.2	84
	survival	NoC	7	-	313.1	34
	Taylor	NoP	10	-	313.0	39
	village	NoC	59	-	312.5	114
	visitors	NoC	17	-	312.5	52
	champion	NoC	7	-	312.3	35
	customers	NoC	29	-	312.3	72
	crap	NoC	23	+	312.2	5
	designs	NoC	5	-	311.9	31
	specimens	NoC	0	-	311.8	16
	consider	Verb	65	-	311.3	123
	nowt	Pron	13	+	311.3	1
	Bush	NoP	6	-	311.3	31
	individual	NoC	21	-	311.2	59
	article	NoC	29	-	311.0	72
	feelings	NoC	20	-	310.9	57
	phenomenon	NoC	3	-	310.9	24
	least	Adv	14	-	310.5	48
	act	Verb	24	-	310.3	63
	dependent	Adj	10	-	310.0	40
	alongside	Prep	6	-	309.7	32
	km	NoC	0	-	309.7	16
	moderator	NoC	12	+	309.6	1
	consequences	NoC	14	-	309.4	48
	advantage	NoC	33	-	309.3	78
	pollution	NoC	13	-	309.3	45
	indian	Adj	11	-	309.3	41
	thereby	Adv	5	-	309.0	29
	goodness	NoC	38	+	308.7	12
	standard	Adj	32	-	308.2	76
	imposed	Verb	8	-	308.0	37
	south	NoC	103	-	307.8	172
	fundamental	Adj	15	-	307.6	49
	smooth	Adj	5	-	307.6	31
	protein	NoC	6	-	307.5	31
	intervention	NoC	7	-	307.5	35
	offence	NoC	10	-	307.5	40
	maintain	Verb	21	-	307.4	58
	generation	NoC	17	-	307.2	53
	critics	NoC	5	-	306.3	30
	P.	NoP	0	-	306.1	16
	heck	NoC	12	+	305.8	1
	find	Verb	529	+	305.8	408
	38	Num	0	-	305.5	16
	argues	Verb	3	-	305.3	26
	contract	NoC	64	-	305.0	120
	must	VMod	589	-	305.0	739
	authority	NoC	118	-	304.8	191
	outside	Prep	65	-	304.6	122
	breach	NoC	7	-	304.3	33
	components	NoC	8	-	304.0	35
	continue	Verb	66	-	304.0	124
	friend	NoC	102	-	303.8	171
	fresh	Adj	30	-	303.7	72
	seller	NoC	1	-	303.4	21
	target	NoC	28	-	303.4	69
	factor	NoC	26	-	303.3	67
	understood	Verb	23	-	303.3	61
	few	DetP	346	-	303.2	462
	owt	Pron	10	+	303.2	1
	experimental	Adj	3	-	303.0	26
	consists	Verb	4	-	302.9	28
	towns	NoC	13	-	302.9	44
	becomes	Verb	36	-	302.9	82
	guitar	NoC	5	-	302.7	30
	pale	Adj	9	-	302.7	38
	NT	NoP	0	-	302.4	15
	chapters	NoC	2	-	302.4	22
	1963	Num	0	-	302.2	15
	reign	NoC	1	-	301.8	20
	programmes	NoC	28	-	301.7	69
	contents	NoC	7	-	301.6	33
	1960	Num	0	-	301.4	17
	Davies	NoP	2	-	301.3	23
	avoided	Verb	3	-	301.3	24
	level	NoC	164	-	301.1	247
	honest	Adj	61	+	300.6	26
	inevitable	Adj	5	-	300.5	30
	York	NoP	153	+	300.5	93
	produce	Verb	60	-	300.4	115
	signed	Verb	23	-	300.0	61
	February	NoP	41	-	299.7	89
	experienced	Verb	9	-	299.6	38
	record	NoC	73	-	299.3	133
	mother	NoC	184	-	299.3	271
	marine	Adj	2	-	299.2	22
	having	Verb	452	+	299.2	341
	Johnson	NoP	8	-	299.1	35
	happy	Adj	176	+	298.9	110
	territory	NoC	7	-	298.8	34
	partner	NoC	18	-	298.7	53
	constitution	NoC	12	-	298.4	43
	37	Num	0	-	298.3	16
	governments	NoC	17	-	298.0	51
	instruments	NoC	6	-	297.9	31
	surprisingly	Adv	5	-	297.9	28
	persons	NoC	12	-	297.9	43
	golden	Adj	11	-	297.9	42
	feet	NoC	85	-	297.5	147
	reforms	NoC	5	-	297.4	30
	it	NoC	0	-	297.4	15
	reportedly	Adv	0	-	297.1	16
	attempted	Verb	5	-	296.9	29
	chuck	Verb	16	+	296.8	2
	soft	Adj	26	-	296.7	66
	concrete	Adj	1	-	296.4	20
	candidate	NoC	12	-	296.3	43
	organised	Verb	8	-	296.1	35
	Pope	NoC	1	-	295.9	20
	concerning	Prep	7	-	295.5	33
	variation	NoC	5	-	295.4	30
	won	Verb	66	-	295.4	123
	surprise	NoC	17	-	295.2	51
	pilot	NoC	8	-	295.2	34
	waves	NoC	5	-	295.0	30
	Rose	NoP	6	-	294.8	30
	capacity	NoC	24	-	294.7	63
	Walker	NoP	2	-	294.2	23
	struck	Verb	14	-	293.9	45
	atmosphere	NoC	18	-	293.5	52
	decades	NoC	4	-	293.5	27
	supported	Verb	23	-	293.4	60
	component	NoC	5	-	293.2	28
	fine	Adj	187	+	293.0	120
	night	NoC	465	+	292.9	354
	communications	NoC	9	-	292.9	38
	legislation	NoC	32	-	292.8	74
	bus	NoC	94	+	292.8	49
	conducted	Verb	7	-	292.6	33
	earl	NoC	3	-	292.6	25
	agency	NoC	25	-	292.5	63
	terrible	Adj	85	+	292.3	42
	underneath	Prep	29	+	292.0	8
	poetry	NoC	6	-	291.9	32
	Stephen	NoP	18	-	291.8	52
	Spanish	Adj	9	-	291.7	37
	barely	Adv	3	-	291.6	25
	gentle	Adj	6	-	291.2	31
	Corbett	NoP	0	-	291.1	17
	acute	Adj	3	-	291.1	25
	concentrations	NoC	2	-	290.6	23
	secret	Adj	10	-	290.0	39
	readily	Adv	6	-	289.8	31
	mode	NoC	5	-	289.8	30
	potential	NoC	16	-	289.6	50
	possession	NoC	6	-	289.4	31
	crap	Adj	11	+	289.1	1
	symptoms	NoC	8	-	289.0	34
	42	Num	0	-	288.9	16
	inevitably	Adv	7	-	288.8	34
	FA	NoP	0	-	288.7	16
	on to	Prep	143	+	288.5	86
	allows	Verb	13	-	288.2	45
	ICI	NoP	0	-	288.1	15
	theme	NoC	12	-	288.1	42
	decision-making	NoC	0	-	288.0	16
	angry	Adj	14	-	288.0	46
	wanted	Verb	314	+	287.9	225
	hard	Adv	33	-	287.8	76
	nan	NoC	19	+	287.8	3
	prisoners	NoC	7	-	287.7	33
	provided	Conj	7	-	287.6	32
	approaches	NoC	5	-	287.5	29
	spring	NoC	22	-	287.4	59
	minority	NoC	9	-	287.2	37
	East	NoP-	18	-	287.0	51
	capable	Adj	19	-	287.0	53
	fewer	DetP	8	-	287.0	34
	library	NoC	41	-	287.0	87
	etc.	Adv	4	-	286.9	27
	efficiency	NoC	11	-	286.3	40
	comprehensive	Adj	10	-	286.3	38
	faced	Verb	16	-	286.2	49
	gold	NoC	35	-	286.1	79
	rule	NoC	41	-	285.9	86
	deposits	NoC	2	-	285.8	21
	transition	NoC	4	-	285.8	26
	nation	NoC	15	-	285.2	47
	obvious	Adj	43	-	284.9	90
	institutional	Adj	2	-	284.9	22
	Van/van	NoP	3	-	284.7	24
	attributed	Verb	1	-	284.6	18
	Ltd.	Adj	0	-	284.5	14
	mm	NoC	1	-	284.3	19
	Secretary	NoC	96	-	284.3	161
	category	NoC	9	-	284.2	36
	M	NoP	0	-	284.0	14
	bollocks	NoC	14	+	284.0	2
	inhabitants	NoC	1	-	283.7	17
	review	NoC	39	-	283.7	83
	Latin	Adj	3	-	283.5	24
	instrument	NoC	5	-	283.0	29
	arrested	Verb	10	-	283.0	37
	forests	NoC	2	-	283.0	22
	nearby	Adj	3	-	282.9	24
	successfully	Adv	9	-	282.9	37
	managers	NoC	25	-	282.8	62
	northern	Adj	30	-	282.7	70
	dog	NoC	128	+	282.6	75
	34	Num	0	-	282.6	17
	hardly	Adv	46	-	282.6	93
	characters	NoC	12	-	282.4	42
	causes	NoC	5	-	282.3	29
	code	NoC	20	-	282.1	56
	scarcely	Adv	1	-	282.0	19
	fair	Adj	133	+	282.0	78
	half way	Adv	19	+	281.8	3
	applications	NoC	27	-	281.7	67
	characteristic	Adj	1	-	281.7	19
	fields	NoC	24	-	281.5	62
	Mrs.	NoC	4	-	281.3	25
	musical	Adj	7	-	281.3	32
	climbed	Verb	4	-	281.2	27
	10%	NoC	0	-	281.1	15
	communities	NoC	14	-	280.7	45
	appropriate	Adj	64	-	280.7	118
	swung	Verb	2	-	280.4	20
	tournament	NoC	1	-	280.3	18
	threatened	Verb	11	-	280.1	40
	affair	NoC	9	-	280.0	36
	owners	NoC	11	-	279.6	41
	light	NoC	90	-	279.2	152
	gender	NoC	2	-	279.2	22
	1962	Num	0	-	278.7	15
	wished	Verb	11	-	278.7	40
	walkman	NoC	11	+	278.4	1
	teachers	NoC	67	-	278.4	121
	describes	Verb	5	-	278.4	29
	minutes	NoC	253	+	278.3	175
	RAF	NoP	2	-	278.2	21
	declined	Verb	3	-	278.1	23
	investors	NoC	6	-	278.1	30
	test	NoC	62	-	278.1	114
	acts	NoC	9	-	278.0	35
	£1	NoC	0	-	277.9	16
	note	Verb	17	-	277.9	50
	Sunday	NoP	143	+	277.8	87
	stages	NoC	14	-	277.7	44
	lines	NoC	56	-	277.6	107
	computer	NoC	85	-	277.5	145
	supplied	Verb	9	-	277.4	36
	languages	NoC	9	-	277.1	36
	Lloyd	NoP	4	-	276.9	25
	facts	NoC	21	-	276.9	56
	correspondent	NoC	3	-	276.9	22
