	Word	PoS	FrIm		LL		FrIn

	round	Adv	296	+	6174.7	57
	based	Verb	14	-	6157.9	246
	systems	NoC	11	-	6122.7	233
	night	NoC	685	+	6119.6	268
	slowly	Adv	257	+	6113.8	41
	companies	NoC	12	-	6106.1	237
	really	Adv	660	+	6084.6	253
	during	Prep	161	-	6065.6	554
	arm	NoC	278	+	6001.2	51
	minister	NoC	43	-	5891.3	313
	paused	Verb	123	+	5875.4	3
	1989	Num	1	-	5871.5	187
	mean	Verb	446	+	5857.2	134
	shrugged	Verb	120	+	5855.4	2
	kitchen	NoC	248	+	5844.3	41
	groups	NoC	21	-	5784.3	254
	therefore	Adv	37	-	5781.3	294
	1991	Num	0	-	5781.2	179
	US	NoP	10	-	5743.3	219
	changes	NoC	18	-	5724.5	242
	staring	Verb	133	+	5710.0	5
	anyway	Adv	236	+	5692.0	37
	report	NoC	43	-	5630.9	305
	sighed	Verb	108	+	5625.9	1
	society	NoC	46	-	5609.0	310
	countries	NoC	13	-	5595.8	224
	5	Num	19	-	5566.0	241
	back	NoC	429	+	5544.8	131
	court	NoC	74	-	5526.7	368
	area	NoC	98	-	5515.1	416
	softly	Adv	120	+	5442.9	4
	company	NoC	147	-	5429.3	502
	murmured	Verb	101	+	5421.8	1
	afraid	Adj	195	+	5389.4	25
	form	NoC	62	-	5385.2	338
	leaned	Verb	113	+	5381.9	3
	replied	Verb	200	+	5377.7	27
	hear	Verb	314	+	5373.0	75
	cried	Verb	133	+	5355.8	7
	of course	Adv	562	+	5347.0	211
	service	NoC	79	-	5344.4	372
	thus	Adv	36	-	5330.2	277
	else	Adv	402	+	5314.5	121
	feet	NoC	352	+	5309.6	94
	tax	NoC	9	-	5289.8	201
	Maggie	NoP	120	+	5269.3	4
	problems	NoC	64	-	5268.1	337
	round	Prep	270	+	5261.7	56
	programme	NoC	23	-	5230.1	242
	suppose	Verb	246	+	5199.0	47
	Ruth	NoP	129	+	5150.3	7
	20	Num	5	-	5143.1	183
	century	NoC	33	-	5141.1	262
	waited	Verb	156	+	5127.0	14
	support	NoC	32	-	5096.7	258
	chair	NoC	223	+	5087.9	38
	someone	Pron	411	+	5079.8	130
	as though	Conj	183	+	5071.2	23
	put	Verb	820	+	5068.0	385
	patients	NoC	22	-	5067.6	232
	include	Verb	13	-	5060.0	205
	range	NoC	32	-	5045.1	258
	maybe	Adv	232	+	4955.3	43
	rate	NoC	29	-	4920.1	244
	committee	NoC	24	-	4902.8	233
	level	NoC	52	-	4896.5	298
	quietly	Adv	157	+	4894.6	16
	myself	Pron	300	+	4884.1	75
	arms	NoC	297	+	4878.3	74
	look	NoC	258	+	4868.2	55
	other	Adj	838	-	4850.0	1468
	thank	Verb	202	+	4836.8	32
	role	NoC	28	-	4830.0	239
	important	Adj	146	-	4822.2	473
	shoulders	NoC	159	+	4820.7	17
	studies	NoC	9	-	4812.8	186
	schools	NoC	13	-	4812.0	196
	cases	NoC	28	-	4793.7	239
	aunt	NoC	128	+	4779.1	8
	training	NoC	30	-	4775.5	242
	production	NoC	17	-	4754.8	207
	tried	Verb	352	+	4745.2	104
	analysis	NoC	8	-	4736.0	180
	former	DetP	25	-	4732.7	229
	desk	NoC	159	+	4723.3	18
	most	Adv	286	-	4689.7	690
	waiting	Verb	238	+	4676.1	49
	left	Verb	627	+	4675.3	270
	30	Num	3	-	4657.6	159
	hon.	Adj	1	-	4649.8	148
	from	Prep	3452	-	4643.6	4595
	financial	Adj	21	-	4643.6	215
	'	Gen	225	-	4628.6	594
	mind	Verb	167	+	4573.5	22
	hers	Pron	109	+	4560.0	5
	1992	Num	1	-	4550.5	144
	grinned	Verb	90	+	4540.8	1
	value	NoC	28	-	4532.1	229
	Luke	NoP	139	+	4528.8	13
	study	NoC	39	-	4520.9	254
	central	Adj	37	-	4516.3	251
	mind	NoC	444	+	4500.3	160
	trade	NoC	34	-	4495.3	242
	per	Prep	9	-	4494.2	176
	stairs	NoC	134	+	4490.8	11
	result	NoC	34	-	4484.2	243
	floor	NoC	286	+	4468.1	74
	&	Conj	13	-	4461.7	187
	issues	NoC	4	-	4442.5	157
	Europe	NoP	33	-	4440.0	237
	1988	Num	2	-	4432.6	145
	Lucy	NoP	112	+	4431.5	6
	shoulder	NoC	160	+	4425.0	20
	12	Num	8	-	4394.8	168
	growth	NoC	10	-	4394.2	174
	party	NoC	168	-	4391.4	489
	union	NoC	22	-	4378.1	208
	population	NoC	11	-	4372.0	176
	basis	NoC	14	-	4362.7	186
	using	Verb	66	-	4358.0	306
	March	NoP	17	-	4345.1	193
	everything	Pron	361	+	4340.6	116
	conditions	NoC	20	-	4331.4	203
	things	NoC	619	+	4325.1	275
	when	Conj	2224	+	4313.8	1500
	glass	NoC	254	+	4302.6	61
	B / b	Lett	18	-	4298.9	195
	6	Num	14	-	4290.9	184
	individual	Adj	13	-	4285.9	179
	ah	Int	111	+	4263.1	7
	similar	Adj	36	-	4255.5	239
	labour*	Adj	8	-	4244.3	165
	environment	NoC	10	-	4239.2	170
	years	NoC	539	-	4234.0	1025
	sitting	Verb	211	+	4233.2	42
	love	NoC	336	+	4218.0	105
	each	DetP	252	-	4209.1	613
	ran	Verb	239	+	4207.2	55
	gave	Verb	465	+	4206.8	180
	costs	NoC	7	-	4203.0	157
	old	Adj	879	+	4199.3	459
	coffee	NoC	186	+	4189.2	32
	authority	NoC	34	-	4179.4	231
	spoke	Verb	202	+	4169.7	39
	work	NoC	340	-	4168.1	742
	smiling	Verb	101	+	4165.8	5
	watching	Verb	189	+	4153.4	34
	cost	NoC	17	-	4148.7	188
	structure	NoC	13	-	4141.9	177
	am	Verb	487	+	4137.8	195
	lady	NoC	244	+	4134.7	59
	shouted	Verb	119	+	4131.4	9
	results	NoC	20	-	4122.2	195
	rates	NoC	6	-	4094.2	152
	15	Num	6	-	4094.1	152
	a little	Adv	263	+	4090.1	69
	workers	NoC	20	-	4086.6	192
	April	NoP	21	-	4084.2	195
	sounded	Verb	119	+	4079.0	10
	talk	Verb	270	+	4071.1	72
	labour*	NoC	15	-	4070.8	180
	technology	NoC	8	-	4069.3	158
	authorities	NoC	11	-	4067.5	169
	tea	NoC	206	+	4061.7	42
	issue	NoC	18	-	4055.0	187
	ever	Adv	486	+	4045.4	197
	section	NoC	39	-	4036.2	238
	June	NoP	20	-	4022.8	191
	president	NoC	28	-	4013.8	212
	doctor	NoC	255	+	4005.6	66
	nice	Adj	202	+	3972.0	41
	across	Prep	434	+	3969.6	167
	opened	Verb	285	+	3966.9	82
	throat	NoC	122	+	3946.3	11
	action	NoC	62	-	3935.6	281
	tears	NoC	148	+	3928.3	20
	kissed	Verb	86	+	3924.4	2
	coming	Verb	319	+	3917.3	101
	levels	NoC	10	-	3915.9	160
	software	NoC	2	-	3904.8	129
	muttered	Verb	79	+	3899.7	1
	recent	Adj	29	-	3898.6	210
	caught	Verb	230	+	3890.9	55
	current	Adj	16	-	3885.2	175
	lay	Verb	244	+	3867.9	62
	pushed	Verb	162	+	3859.7	26
	department	NoC	37	-	3858.5	226
	language	NoC	44	-	3855.8	241
	hell	NoC	146	+	3818.9	21
	dead	Adj	276	+	3814.3	80
	association	NoC	9	-	3813.3	153
	happened	Verb	296	+	3811.5	90
	significant	Adj	12	-	3808.2	161
	gaze	NoC	96	+	3807.1	5
	particular	Adj	58	-	3804.0	268
	let's	Verb	148	+	3788.5	22
	practice	NoC	36	-	3780.1	222
	legal	Adj	17	-	3770.0	174
	power	NoC	129	-	3768.2	394
	standing	Verb	198	+	3767.6	42
	A / a	Lett	73	-	3760.6	296
	products	NoC	7	-	3711.0	142
	before	Adv	294	+	3710.6	91
	began	Verb	482	+	3682.0	205
	students	NoC	25	-	3679.4	192
	United	NoP-	11	-	3663.8	153
	Adam	NoP	126	+	3657.6	15
	project	NoC	21	-	3656.8	181
	quality	NoC	32	-	3656.6	206
	liked	Verb	164	+	3655.0	29
	somewhere	Adv	167	+	3644.9	30
	further*	Adj	66	-	3641.4	278
	economy	NoC	7	-	3635.5	139
	remembered	Verb	166	+	3632.9	30
	increase	NoC	3	-	3611.6	126
	effect	NoC	73	-	3594.9	289
	income	NoC	12	-	3593.2	154
	higher	Adj	31	-	3584.7	202
	sister	NoC	198	+	3577.5	45
	still	Adv	1064	+	3572.2	625
	act	NoC	68	-	3563.4	277
	dad	NoC	151	+	3559.8	25
