	Word	PoS	FrIm		LL		FrIn

	01	Num	0	-	464.8	15
	entitled	Adj	7	-	464.7	33
	pay	Verb	106	-	464.6	174
	gripping	Verb	12	+	464.6	1
	valuable	Adj	16	-	464.4	48
	instinctively	Adv	20	+	464.2	3
	perform	Verb	11	-	463.9	40
	became	Verb	177	-	463.8	261
	mucosa	NoC	0	-	463.8	15
	dreamed	Verb	23	+	463.8	5
	sun	NoC	173	+	463.8	108
	databases	NoC	0	-	463.6	14
	any longer	Adv	21	+	463.4	4
	breathless	Adj	18	+	463.2	2
	compare	Verb	6	-	462.7	30
	1961	Num	1	-	462.7	19
	warily	Adv	12	+	462.5	1
	cruel	Adj	33	+	462.4	10
	colitis	NoC	0	-	462.3	14
	excellent	Adj	34	-	462.2	77
	artist	NoC	17	-	462.0	51
	drive	Verb	74	+	461.4	34
	washed	Verb	41	+	461.4	14
	icy	Adj	21	+	461.3	4
	squeezed	Verb	27	+	461.3	6
	murmur	NoC	13	+	461.1	1
	representative	NoC	5	-	460.9	29
	collaboration	NoC	1	-	460.7	18
	fer	Prep	11	+	460.6	0
	Sally	NoP	32	+	460.5	9
	seen	Verb	465	+	460.4	354
	scarf	NoC	18	+	460.4	3
	criterion	NoC	0	-	460.1	16
	companion	NoC	39	+	460.1	13
	teaching	Verb	11	-	460.1	40
	dollar	NoC	4	-	459.8	26
	varies	Verb	1	-	459.5	17
	tree	NoC	103	+	459.4	55
	presidency	NoC	0	-	459.4	16
	chill	NoC	22	+	459.3	4
	resulting	Adj	1	-	459.3	19
	portfolio	NoC	2	-	458.8	21
	W.	NoP	3	-	458.8	22
	explicit	Adj	4	-	458.6	25
	Devlin	NoP	19	+	458.5	3
	rangers	NoC	1	-	458.5	17
	traditions	NoC	2	-	458.4	21
	act	Verb	30	-	458.2	71
	perfectly	Adv	78	+	458.1	37
	distinctive	Adj	5	-	458.1	29
	flames	NoC	31	+	458.0	9
	research	Verb	1	-	458.0	19
	selective	Adj	1	-	457.9	18
	FA	NoP	2	-	457.9	20
	texts	NoC	6	-	457.9	31
	ANC	NoP	0	-	457.9	14
	try	Verb	242	+	457.8	164
	D	NoP	1	-	457.7	17
	as to	Prep	39	-	457.5	83
	socialism	NoC	2	-	457.5	22
	installation	NoC	1	-	457.1	18
	exhibitions	NoC	1	-	457.1	18
	trusts	NoC	1	-	456.9	18
	vol.	NoC	0	-	456.9	14
	evaluate	Verb	0	-	456.6	15
	agenda	NoC	4	-	456.5	26
	validity	NoC	1	-	456.2	18
	sought	Verb	27	-	456.1	66
	Korean	Adj	0	-	456.1	16
	machines	NoC	21	-	456.0	57
	competitors	NoC	2	-	455.9	22
	roar	NoC	19	+	455.5	3
	delegates	NoC	1	-	455.5	19
	funded	Verb	1	-	455.4	17
	dim	Adj	21	+	455.3	4
	influences	NoC	2	-	455.0	20
	calm	Adj	30	+	455.0	8
	slender	Adj	23	+	454.9	5
	classic	Adj	7	-	454.8	33
	sooner	Adv	39	+	454.5	13
	scrambled	Verb	17	+	454.4	2
	thumb	NoC	28	+	454.4	7
	parallel	Adj	3	-	454.1	24
	jaw	NoC	29	+	454.0	7
	reading	NoC	21	-	453.9	57
	Marco	NoP	21	+	453.7	4
	Good	NoP	16	+	453.5	2
	stroking	Verb	14	+	453.4	1
	constructed	Verb	7	-	453.2	32
	futures	NoC	1	-	453.0	19
	colleagues	NoC	24	-	453.0	61
	1963	Num	1	-	452.9	19
	Otley	NoP	11	+	452.9	1
	bath	NoC	48	+	452.8	18
	transferred	Verb	11	-	452.6	39
	phenomena	NoC	1	-	452.4	19
	coup	NoC	3	-	452.2	23
	meanwhile	Adv	23	-	451.4	60
	terribly	Adv	28	+	451.4	7
	allocated	Verb	2	-	451.4	22
	hierarchy	NoC	3	-	451.2	22
	in conjunction with	Prep	1	-	451.1	17
	rainbow	NoC	26	+	451.1	6
	acquire	Verb	4	-	450.9	26
	fluttered	Verb	11	+	450.7	1
	calculated	Verb	7	-	450.6	31
	catalogue	NoC	6	-	450.4	30
	remark	NoC	31	+	450.3	9
	everybody	Pron	66	+	449.8	30
	hut	NoC	30	+	449.7	8
	ml	NoC	0	-	449.5	15
	Gloucestershire	NoP	2	-	449.5	20
	Midland	NoP	1	-	449.4	18
	cleared	Verb	52	+	449.2	21
	entitled	Verb	6	-	449.1	30
	candles	NoC	23	+	448.9	5
	RAF	NoP	4	-	448.8	25
	champions	NoC	2	-	448.7	20
	vocational	Adj	0	-	448.4	14
	55	Num	1	-	448.4	17
	Latin	Adj	6	-	448.3	29
	correct	Adj	28	-	448.2	66
	hundred	NoC	140	+	448.1	83
	television	NoC	61	-	448.0	113
	elf	NoC	14	+	447.9	1
	nostrils	NoC	16	+	447.7	2
	cheerful	Adj	30	+	447.3	8
	local	NoC	3	-	447.2	22
	record	Verb	4	-	447.2	26
	bastards	NoC	17	+	447.1	2
	revealed	Verb	27	-	447.0	66
	Philip	NoP	73	+	446.6	35
	whispering	Verb	14	+	446.6	1
	Lloyd	NoP	6	-	446.6	30
	adjustment	NoC	1	-	446.5	19
	clapped	Verb	13	+	446.5	1
	Bosnia	NoP	0	-	446.4	14
	settled	Verb	72	+	446.4	34
	wriggled	Verb	10	+	446.3	0
	ducked	Verb	13	+	446.3	1
	Brazil	NoP	3	-	446.2	22
	Emailinc	NoP	0	-	446.1	14
	poked	Verb	12	+	446.1	1
	own	DetP	844	+	446.0	693
	horses	NoC	82	+	445.4	40
	Leith	NoP	25	+	445.3	6
	ft	NoC	1	-	445.2	16
	strongly	Adv	21	-	444.5	56
	volunteers	NoC	3	-	444.4	24
	reserves	NoC	4	-	444.4	25
	Poland	NoP	5	-	444.4	27
	earth	NoC	148	+	444.2	90
	1950	Num	1	-	444.2	18
	cab	NoC	37	+	444.2	12
	Joanna	NoP	23	+	444.1	5
	Dane	NoC	14	+	443.9	1
	films	NoC	13	-	443.5	43
	goodness	NoC	29	+	443.2	8
	panel	NoC	13	-	443.2	43
	miss	Verb	57	+	443.0	24
	Iris	NoP	20	+	442.9	4
	set	Verb	271	-	442.9	370
	37	Num	2	-	442.8	19
	drained	Verb	22	+	442.7	5
	disputes	NoC	1	-	442.5	19
	diseases	NoC	3	-	442.4	24
	reckon	Verb	31	+	441.8	8
	continental	Adj	3	-	441.7	23
	shout	NoC	15	+	441.6	2
	Muller	NoP	11	+	441.6	1	
	nasty	Adj	36	+	441.5	11
	failed	Verb	56	-	441.5	107
	Clara	NoP	17	+	441.4	2
	photograph	NoC	49	+	441.3	19
	calcium	NoC	0	-	441.1	15
	fig*	NoC	3	-	441.0	22
	Palestinian	Adj	0	-	440.9	14
	competence	NoC	2	-	440.9	20
	soul	NoC	59	+	440.8	25
	intensive	Adj	3	-	440.5	24
	withdrawal	NoC	5	-	440.3	27
	Chinese	Adj	17	-	440.3	49
	subsidies	NoC	0	-	440.2	15
	Tina	NoP	17	+	440.2	2
	sessions	NoC	5	-	439.7	28
	irritated	Verb	15	+	439.6	2
	horse	NoC	120	+	439.5	69
	patiently	Adv	18	+	439.4	3
	searched	Verb	29	+	439.0	8
	sprang	Verb	21	+	438.8	4
	hurt	Adj	19	+	438.8	3
	physics	NoC	3	-	438.7	23
	filter	NoC	2	-	438.7	19
	maximum	NoC	2	-	438.6	20
	that	Adv	70	+	438.5	33
	districts	NoC	2	-	438.5	21
	uniform	NoC	34	+	438.2	11
	duration	NoC	4	-	437.9	25
	sarcasm	NoC	12	+	437.9	1
	Arab	Adj	6	-	437.8	29
	safe	Adj	108	+	437.5	59
	42	Num	2	-	437.5	19
	specified	Adj	1	-	437.4	17
	identification	NoC	6	-	437.4	29
	o'	Prep	16	+	437.1	2
	44	Num	1	-	437.0	17
	gained	Verb	16	-	436.9	47
	violence	NoC	29	-	436.8	68
	sweetly	Adv	14	+	436.7	1
	interactions	NoC	0	-	436.7	15
	times	NoC	221	-	436.6	311
	curtain	NoC	33	+	436.3	10
	supervision	NoC	3	-	436.2	22
	selected	Adj	2	-	436.1	19
	thickly	Adv	15	+	436.1	2
	auntie	NoC	19	+	436.0	3
	autonomous	Adj	0	-	436.0	15
	modification	NoC	0	-	435.9	14
	certificate	NoC	9	-	435.8	36
	painfully	Adv	21	+	435.6	4
	bothered	Verb	27	+	435.4	7
	indicators	NoC	0	-	435.1	15
	exclusion	NoC	2	-	435.0	20
	offenders	NoC	1	-	434.9	17
	reviewed	Verb	2	-	434.7	19
	features	NoC	50	-	434.6	98
	well	Adj	64	+	434.5	29
	married	Verb	80	+	434.5	39
	awareness	NoC	15	-	434.5	45
	normally	Adv	43	-	434.4	89
	sip	NoC	13	+	434.2	1
	appeared	Verb	166	+	434.0	104
	select	Verb	3	-	434.0	23
	music	NoC	107	-	434.0	172
	apparent	Adj	28	-	433.9	66
	offices	NoC	19	-	433.9	53
	approval	NoC	17	-	433.8	48
	improved	Verb	8	-	433.8	34
	ringing	Verb	22	+	433.8	4
	GDP	NoC	0	-	433.7	13
	carpet	NoC	46	+	433.6	17
	shame	NoC	36	+	433.5	11
	Hungary	NoP	2	-	433.4	20
	93	Num	1	-	433.1	17
	bonds	NoC	4	-	433.1	26
	hospital	NoC	106	-	432.9	171
	diverse	Adj	1	-	432.9	18
	presents	Verb	2	-	432.9	21
	route	NoC	28	-	432.8	66
	farming	NoC	5	-	432.4	28
	specification	NoC	1	-	432.3	17
	prevalence	NoC	0	-	432.2	14
	emergence	NoC	1	-	432.1	17
	extended	Verb	17	-	431.9	50
	lashes	NoC	13	+	431.9	1
	intellectual	Adj	8	-	431.8	33
	molecular	Adj	1	-	431.4	18
	avoid	Verb	48	-	431.2	95
	predominantly	Adv	1	-	431.2	17
	middle	NoC	90	+	431.1	47
	influential	Adj	4	-	430.8	25
	monthly	Adj	3	-	430.8	24
	Millie	NoP	11	+	430.7	1
	Dorian	NoP	11	+	430.4	1
	Bragg	NoP	14	+	430.3	1
	entries	NoC	3	-	430.0	24
	breeding	NoC	4	-	429.9	25
	characteristic	Adj	3	-	429.7	23
	editor	NoC	17	-	429.6	49
	changing	Adj	7	-	429.6	30
	search	NoC	26	-	429.3	63
	vote	Verb	4	-	429.1	25
	wedding	NoC	59	+	428.9	26
	torn	Verb	27	+	428.7	7
	phoned	Verb	23	+	428.7	5
	census	NoC	0	-	428.3	14
	refugees	NoC	4	-	428.3	25
	ter	Adv	16	+	428.3	2
	prominent	Adj	7	-	428.2	30
	limbs	NoC	28	+	428.2	7
	rope	NoC	35	+	428.0	11
	backwards	Adv	38	+	428.0	13
	Marxist	Adj	1	-	427.9	16
	demonstrations	NoC	2	-	427.8	19
	gloves	NoC	25	+	427.7	6
	musical	Adj	10	-	427.7	37
	criticised	Verb	1	-	427.7	18
	impose	Verb	4	-	427.7	24
	quantities	NoC	4	-	427.0	25
	subsidiary	NoC	1	-	427.0	16
	forever	Adv	39	+	426.6	14
	palms	NoC	20	+	426.4	4
	opponents	NoC	3	-	426.3	22
	bureaucracy	NoC	1	-	426.3	17
	liberation	NoC	4	-	426.2	24
	assassin	NoC	13	+	425.8	1
	glaring	Verb	10	+	425.5	0
	uses	NoC	3	-	425.4	23
	sponsorship	NoC	1	-	425.3	16
	rather than	Conj	22	-	425.0	57
	diagnosis	NoC	3	-	424.7	23
	*	Uncl	2	-	424.7	21
	Christians	NoC	2	-	424.6	21
	with regard to	Prep	2	-	424.6	21
	hopes	Verb	4	-	424.4	24
	reply	Verb	30	+	424.2	9
	San	NoP-	8	-	424.0	33
	every	Det	482	+	423.9	372
	band	NoC	38	-	423.7	81
	north-east	NoC	3	-	423.5	23
	stuffed	Verb	20	+	423.4	4
	abolition	NoC	1	-	423.1	16
	sipping	Verb	13	+	422.9	1
	examine	Verb	16	-	422.8	47
	territories	NoC	2	-	422.8	19
	White	NoP	9	-	422.7	35
	RNA	NoC	0	-	422.7	13
	multimedia	NoC	0	-	422.7	13
	inevitably	Adv	12	-	422.6	39
	elves	NoC	14	+	422.5	2
	hint	NoC	33	+	422.2	10
	supplier	NoC	1	-	422.0	18
	doubt	Verb	42	+	421.8	15
	panting	Verb	12	+	421.8	1
	and so on	Adv	19	-	421.6	51
	erosion	NoC	1	-	421.3	17
	stooped	Verb	11	+	421.1	1
	gasping	Verb	12	+	421.1	1
	1000	Num	0	-	421.0	14
	HP	NoP	0	-	420.9	15
	hall	NoC	171	+	420.9	110
	overcoat	NoC	12	+	420.7	1
	pointed	Verb	98	+	420.6	53
	secret	NoC	46	+	420.6	18
	amazement	NoC	17	+	420.4	3
	exploitation	NoC	1	-	420.3	17
	open	Verb	115	+	420.0	66
	hard	Adj	213	+	419.9	143
	test	Verb	9	-	419.8	34
	sink	NoC	26	+	419.8	7
	sad	Adj	61	+	419.4	27
	dealers	NoC	3	-	419.2	23
	yuan	NoC	15	+	419.1	2
	sets	Verb	6	-	419.0	28
	delegation	NoC	2	-	418.7	21
	relieved	Adj	31	+	418.5	9
	Giles	NoP	24	+	418.4	6
	landing	NoC	39	+	418.3	14
	fine	Adj	169	+	417.6	108
	closing	Verb	33	+	417.6	10
	soil	NoC	19	-	417.4	51
	moon	NoC	55	+	417.2	23
	sprawled	Verb	11	+	416.8	1
	minor	Adj	22	-	416.8	56
	specialists	NoC	2	-	416.6	19
	pupil	NoC	6	-	416.2	30
	H.	NoP	4	-	416.2	23
	turn	Verb	169	+	416.1	108
	notice	Verb	61	+	415.8	28
	jury	NoC	6	-	415.6	28
	firstly	Adv	3	-	415.5	21
	Josie	NoP	10	+	415.1	0
	nationalist	Adj	0	-	415.1	13
	amnesty	NoC	1	-	414.7	15
	by means of	Prep	3	-	414.3	21
	bunny	NoC	14	+	414.0	1
	shout	Verb	23	+	413.7	5
	fifth	Ord	13	-	413.6	41
	edition	NoC	8	-	413.6	32
	apron	NoC	16	+	413.5	2
	prayed	Verb	19	+	413.5	3
	worldwide	Adv	1	-	413.4	16
	600	Num	1	-	413.4	15
	games	NoC	34	-	413.4	73
	cricket	NoC	13	-	413.0	41
	present	Verb	13	-	412.8	41
	EEC	NoP	1	-	412.8	16
	kind	NoC	284	+	412.8	203
	disability	NoC	2	-	412.7	19
	creditors	NoC	1	-	412.6	16
	justification	NoC	3	-	412.6	23
	restructuring	NoC	0	-	412.0	13
	phone	Verb	24	+	411.8	6
	wailed	Verb	10	+	411.8	0
	Jean-Pierre	NoP	13	+	411.8	1
	alleged	Verb	1	-	411.5	18
	creates	Verb	2	-	411.3	19
	muffled	Adj	11	+	411.3	1
	green	Adj	144	+	411.2	89
	skirts	NoC	19	+	411.1	3
	damn	Adv	11	+	411.1	1
	Kitty	NoP	12	+	410.9	1
	travel	NoC	14	-	410.9	43
	heavens	NoC	18	+	410.9	3
	41	Num	1	-	410.8	16
	marine	Adj	5	-	410.8	26
	lead*	NoC	28	-	410.5	65
	fucking	Adv	12	+	410.5	1
	tested	Verb	9	-	410.3	33
	46	Num	1	-	410.3	15
	tank	NoC	13	-	410.2	40
	racial	Adj	2	-	410.1	19
	heap	NoC	21	+	410.0	4
	particles	NoC	3	-	410.0	22
I.	Pron	10	+	410.0	1
	undertake	Verb	3	-	409.9	23
	freedom	NoC	34	-	409.9	74
	hips	NoC	23	+	409.5	5
	uncomfortable	Adj	32	+	409.4	10
	shut	Adj	14	+	409.3	2
	setting	NoC	11	-	409.3	38
	suffered	Verb	29	-	409.0	66
	counties	NoC	2	-	408.9	20
	seeks	Verb	2	-	408.8	20
	wretched	Adj	19	+	408.8	3
	near	Adv	34	+	408.7	11
	Delia	NoP	11	+	408.7	1
	whistled	Verb	11	+	408.5	1
	acute	Adj	7	-	408.4	30
	bacteria	NoC	1	-	408.4	17
	dependence	NoC	1	-	408.2	17
	observers	NoC	2	-	408.0	20
	journal	NoC	7	-	408.0	31
	combine	Verb	3	-	407.7	21
	senate	NoC	1	-	407.6	18
	organisational	Adj	0	-	407.5	14
	Eliot	NoP	5	-	407.5	25
	inclusion	NoC	1	-	407.3	16
	offence	NoC	16	-	407.3	46
	Chapman	NoP	1	-	407.3	15
	fitness	NoC	2	-	407.0	21
	gates	NoC	41	+	406.9	15
	auditors	NoC	1	-	406.8	15
	migration	NoC	1	-	406.6	15
	Hartlepool	NoP	0	-	406.4	14
	remaining	Adj	19	-	406.4	51
	velvet	NoC	25	+	406.2	6
	complete	Verb	13	-	406.1	42
	Amy	NoP	19	+	405.8	4
	dominated	Verb	10	-	405.7	35
	Harvey	NoP	31	+	405.7	9
	titles	NoC	6	-	405.7	28
	resistance	NoC	16	-	405.6	46
	headlights	NoC	12	+	405.6	1
	parameters	NoC	1	-	405.4	15
	Michele	NoP	12	+	405.2	1
	show	NoC	54	-	405.1	101
	Johnny	NoP	34	+	404.9	11
	as opposed to	Prep	2	-	404.5	20
	Olympic	Adj	2	-	404.3	18
	ghost	NoC	32	+	404.3	10
	sliding	Verb	17	+	404.2	3
	analyses	NoC	0	-	404.2	15
	wealth	NoC	18	-	404.0	48
	betrayed	Verb	20	+	403.9	4
	Maud	NoP	15	+	403.9	2
	injuries	NoC	8	-	403.8	33
	wrists	NoC	16	+	403.7	2
	bushes	NoC	22	+	403.5	5
	instance	NoC	4	-	403.4	23
	actively	Adv	2	-	403.2	20
	toast	NoC	23	+	403.2	5
	defeat	NoC	11	-	403.1	38
	campaigns	NoC	2	-	403.1	19
	Jean-Paul	NoP	11	+	403.1	1
	all at once	Adv	14	+	403.0	2
	tremble	Verb	11	+	403.0	1
	fancy	Verb	24	+	403.0	6
	commentators	NoC	0	-	402.8	14
	beamed	Verb	14	+	402.7	2
	W.L.R.	NoP	0	-	402.4	13
	been	Verb	2977	+	402.4	2699
	throw	Verb	52	+	402.4	22
	drawings	NoC	7	-	402.3	29
	nowhere	Adv	46	+	402.1	18
	peach	NoC	19	+	402.0	3
	quantitative	Adj	0	-	401.9	13
	flashing	Verb	17	+	401.9	3
	tug	NoC	15	+	401.8	2
	curious	Adj	46	+	401.6	18
	wear	Verb	67	+	401.6	32
	notable	Adj	3	-	401.5	21
	smiles	NoC	18	+	401.4	3
	buildings	NoC	39	-	401.3	80
	army	NoC	79	-	401.2	133
	enhance	Verb	2	-	400.7	19
	tools	NoC	12	-	400.6	39
	planned	Adj	2	-	400.4	19
	ruling	NoC	1	-	400.1	16
	bow	NoC	26	+	400.0	7
	above	Prep	199	+	399.9	134
	devices	NoC	6	-	399.9	28
	border	NoC	18	-	399.7	49
	Pete	NoP	27	+	399.7	7
	syntactic	Adj	0	-	399.6	12
	toxic	Adj	1	-	399.6	16
	outcomes	NoC	0	-	399.6	13
	selected	Verb	10	-	399.3	36
	organisers	NoC	1	-	399.3	15
	thousands	NoC	28	-	399.0	64
	19th	Ord	1	-	398.9	17
	clicked	Verb	12	+	398.9	1
	incentives	NoC	0	-	398.8	14
	relates	Verb	2	-	398.6	18
	surprised	Verb	20	+	398.2	4
	note	NoC	95	+	398.0	52
	irritation	NoC	20	+	397.7	4
	doctors	NoC	21	-	397.6	53
	acids	NoC	0	-	397.5	14
	eyeing	Verb	11	+	397.4	1
	partial	Adj	4	-	397.3	23
	S.	NoP	5	-	397.0	26
	pardon	NoC	16	+	396.9	2
	Will	NoP	32	+	396.8	10
	continued	Adj	6	-	396.5	28
	fuck	NoC	12	+	396.4	1
	bowel	NoC	1	-	396.4	17
	accessible	Adj	3	-	396.3	22
	therapy	NoC	4	-	396.2	24
	sang	Verb	29	+	396.2	8
Nato	NoP	2	-	396.2	20
	parental	Adj	1	-	396.0	17
	account	Verb	7	-	395.8	31
	£10	NoC	1	-	395.7	15
	transmission	NoC	2	-	395.5	20
	railways	NoC	4	-	395.4	24
	profession	NoC	12	-	395.2	39
	huge	Adj	122	+	395.1	73
	differentiation	NoC	0	-	395.0	12
	attitude	NoC	32	-	394.9	70
	inherent	Adj	2	-	394.9	18
	Viola	NoP	12	+	394.6	1
	picking	Verb	39	+	394.5	14
	bias	NoC	2	-	394.5	18
	Maurice	NoP	27	+	394.3	8
	operated	Verb	5	-	394.2	27
	stable	Adj	12	-	394.1	39
	Peggy	NoP	18	+	394.1	3
	minerals	NoC	1	-	394.0	14
	borrowing	NoC	0	-	393.9	14
	posts	NoC	6	-	393.8	28
	servant	NoC	39	+	393.8	14
	1990s	Num	0	-	393.7	14
	polytechnic	NoC	1	-	393.7	16
	liar	NoC	14	+	393.7	2
	brushing	Verb	16	+	393.5	2
	copyright	NoC	0	-	393.4	14
	Scotvec	NoP	0	-	393.2	12
	gain	Verb	16	-	393.0	46
	1920s	Num	1	-	392.7	15
	covers	Verb	4	-	392.7	24
	Grace	NoP	22	+	392.6	5
	suspiciously	Adv	14	+	392.3	2
	demonstration	NoC	4	-	392.2	24
	awfully	Adv	12	+	392.1	1
	located	Verb	8	-	392.1	32
	swam	Verb	15	+	391.7	2
	for	Conj	203	+	391.7	137
	eighteenth	Ord	5	-	391.2	26
	orientation	NoC	1	-	390.9	14
	aviation	NoC	0	-	390.7	13
	rest	Verb	43	+	390.6	16
	family	NoC	289	-	390.5	385
	swaying	Verb	12	+	390.2	1
	3.1	Num	0	-	390.0	12
	comprising	Verb	1	-	389.9	15
	unlikely	Adj	31	-	389.6	69
	1953	Num	1	-	389.5	14
	substantive	Adj	0	-	389.5	13
	hunched	Verb	11	+	389.5	1
	lifting	Verb	26	+	389.4	7
	Indian	Adj	17	-	389.4	47
	uneasily	Adv	14	+	389.4	2
	gentlemen	NoC	30	+	389.3	9
	Flaubert	NoP	10	+	389.2	1
	good	NoC	44	+	389.1	17
	1949	Num	1	-	389.1	14
	process	Verb	1	-	389.1	15
	oesophageal	Adj	0	-	389.1	12
	1958	Num	1	-	388.9	16
	temperatures	NoC	2	-	388.9	19
	Aberdeen	NoP	2	-	388.9	19
	cost	Verb	26	-	388.8	61
	assist	Verb	8	-	388.8	32
	dead	Adv	22	+	388.6	5
	liabilities	NoC	0	-	388.6	13
	minimum	NoC	5	-	388.3	25
	transfer	Verb	4	-	388.3	23
	halt	NoC	29	+	388.3	8
	Dora	NoP	13	+	388.0	1
	prospects	NoC	6	-	388.0	28
	equivalent	NoC	5	-	387.8	25
	helps	Verb	9	-	387.6	33
	Northampton	NoP	0	-	387.4	13
	wiping	Verb	16	+	387.4	2
	regularly	Adv	18	-	387.2	48
	occurring	Verb	1	-	387.1	17
	organisms	NoC	0	-	387.0	14
	yards	NoC	66	+	387.0	32
	considerably	Adv	11	-	387.0	37
	Francis	NoP	51	+	386.8	21
	right	NoC	128	-	386.8	194
	52	Num	1	-	386.6	14
	ten	Num	207	+	386.6	141
	darkened	Verb	10	+	386.5	1
	questionnaire	NoC	1	-	386.5	15
	receiving	Verb	11	-	386.4	36
	stool	NoC	23	+	386.4	5
	subjective	Adj	1	-	386.4	16
	burning	Verb	30	+	386.3	9
	lingered	Verb	12	+	386.3	1
	Sri	NoP-	0	-	386.2	13
	conception	NoC	5	-	386.1	24
	grammatical	Adj	0	-	386.1	14
	doll	NoC	20	+	385.9	4
	Leo	NoP	24	+	385.9	6
	greatest	Adj	27	-	385.8	63
	beneficial	Adj	2	-	385.7	18
	steps	NoC	108	+	385.2	62
	Bridget	NoP	16	+	385.0	3
	screwed	Verb	16	+	385.0	3
	Gibson	NoP	0	-	384.9	14
	incurred	Verb	1	-	384.8	16
	earliest	Adj	4	-	384.7	24
	estimate	NoC	3	-	384.7	21
	superintendent	NoC	25	+	384.7	7
	criticisms	NoC	1	-	384.6	15
	degrees	NoC	11	-	384.6	36
	productive	Adj	2	-	384.5	18
	choices	NoC	4	-	384.5	23
	whilst	Conj	32	-	384.3	69
	councillor	NoC	2	-	384.2	19
	Wickham	NoP	11	+	384.0	1
	substances	NoC	2	-	383.9	18
	bugger	NoC	10	+	383.8	1
	rally	NoC	1	-	383.8	17
	Williams	NoP	14	-	383.8	41
	saddle	NoC	20	+	383.6	4
	wonder	NoC	39	+	383.6	15
	reporting	NoC	1	-	383.4	15
	bowl	NoC	45	+	383.4	18
	moving	Verb	128	+	383.0	78
	evolved	Verb	1	-	383.0	16
	binding	Adj	1	-	382.9	17
	reign	NoC	4	-	382.9	24
	curved	Verb	11	+	382.8	1
	witch	NoC	18	+	382.4	4
	accent	NoC	30	+	382.1	9
	bewildered	Adj	17	+	382.0	3
	ill	Adj	76	+	381.7	39
	Lamont	NoP	1	-	381.7	16
	comprises	Verb	0	-	381.3	12
	methodology	NoC	0	-	381.3	13
	designs	NoC	11	-	381.1	36
	crumpled	Adj	10	+	381.1	1
	writer	NoC	17	-	380.8	47
	flared	Verb	15	+	380.8	2
	graduates	NoC	1	-	380.8	14
	comparisons	NoC	2	-	380.6	17
	innocent	Adj	43	+	380.2	17
	incentive	NoC	1	-	380.0	17
	mistake	NoC	65	+	379.9	31
	1956	Num	1	-	379.9	15
	ozone	NoC	2	-	379.3	17
	uneasy	Adj	25	+	379.3	7
	gain	NoC	2	-	379.2	19
	image	NoC	47	-	379.1	89
	colonic	Adj	0	-	378.9	12
	defender	NoC	1	-	378.9	16
	drawers	NoC	18	+	378.8	3
	happiness	NoC	37	+	378.8	14
	Naylor	NoP	11	+	378.8	1
	modes	NoC	1	-	378.8	17
	begged	Verb	17	+	378.6	3
	combined	Adj	4	-	378.5	23
	examinations	NoC	2	-	378.4	19
	St.	NoP-	3	-	378.3	22
	1951	Num	1	-	378.1	14
	drag	Verb	21	+	378.1	5
	interviews	NoC	8	-	378.0	31
	assessments	NoC	1	-	378.0	15
	locations	NoC	2	-	377.8	19
	in connection with	Prep	3	-	377.7	21
	briefly	Adv	59	+	377.7	27
	alternatives	NoC	3	-	377.6	21
	ugly	Adj	31	+	377.5	10
	100,000	Num	0	-	377.2	13
	negligence	NoC	2	-	377.1	17
	£1,000	NoC	1	-	376.8	14
	supplied	Verb	14	-	376.7	42
	realize	Verb	37	+	376.4	13
	conceptual	Adj	1	-	376.3	14
	mainstream	Adj	0	-	376.3	13
	compliance	NoC	2	-	376.3	17
	frantically	Adv	14	+	376.2	2
	10,000	Num	1	-	376.2	16
	museums	NoC	2	-	376.2	19
	criticized	Verb	1	-	376.0	15
	electorate	NoC	1	-	375.9	14
	exception	NoC	11	-	375.9	36
	integral	Adj	1	-	375.8	16
	applying	Verb	5	-	375.7	25
	writing	NoC	28	-	375.5	63
	receives	Verb	2	-	375.4	17
	Risc	NoP	0	-	375.2	11
	round	NoC	14	-	375.2	42
	innovative	Adj	1	-	374.6	14
	and	Conj	26345	-	374.3	27173
	bargaining	NoC	1	-	374.2	17
	electron	NoC	0	-	374.2	13
	sponsored	Verb	1	-	374.1	15
	clinging	Verb	18	+	374.0	3
	realistic	Adj	4	-	373.9	23
	~na~*	Inf	22	+	373.8	5
	venture	NoC	5	-	373.7	25
	norms	NoC	0	-	373.7	12
	despair	NoC	31	+	373.6	10
	premium	NoC	1	-	373.5	15
	monitor	Verb	2	-	373.2	18
	M / m	Lett	7	-	373.0	28
	poor	Adj	209	+	373.0	144
	favourable	Adj	3	-	373.0	20
	fact	NoC	286	-	373.0	379
	starting	NoC	3	-	372.9	21
	pricing	NoC	0	-	372.9	11
	pleasant	Adj	51	+	372.8	22
	wish	Verb	144	+	372.8	91
	wood	NoC	83	+	372.8	44
	temporary	Adj	17	-	372.7	46
	vehicles	NoC	12	-	372.7	38
	acceptance	NoC	10	-	372.5	34
	five-year	Adj	0	-	372.3	12
	remedy	NoC	2	-	372.3	18
	miners	NoC	4	-	372.2	23
	insufficient	Adj	2	-	371.9	18
	distinguish	Verb	5	-	371.2	26
	Roman	NoC	19	+	371.1	4
	1955	Num	1	-	371.0	14
	Veronica	NoP	13	+	370.9	2
	shiny	Adj	20	+	370.9	4
	collapse	NoC	6	-	370.6	27
	electronics	NoC	3	-	370.1	20
	attended	Verb	15	-	370.0	43
	secretion	NoC	0	-	369.9	12
	behavioural	Adj	0	-	369.8	13
	headmaster	NoC	28	+	369.7	8
