	Word	PoS		FrCo	Ra	DiDe		LogLike	FrTO	Ra	DiCG
	@	@	chair	94	4	0.79	+	2.5	85	6	0.72
	@	@	chairs	33	4	0.82	+	37.4	14	6	0.85
	chairman	NoC	%	5	4	0.66	-	1429.0	252	6	0.62
	@	@	chairman	5	4	0.66	-	1418.9	251	6	0.62
	@	@	chairmen	0	0	0.00	-	10.4	2	5	0.70
	chance	NoC	%	93	4	0.93	-	77.9	155	6	0.83
	@	@	chance	83	4	0.94	-	44.2	126	6	0.86
	@	@	chances	9	4	0.79	-	48.5	29	6	0.69
	change	NoC	%	90	4	0.86	-	348.0	241	6	0.87
	@	@	change	78	4	0.86	-	71.4	133	6	0.86
	@	@	changes	12	4	0.82	-	420.0	108	6	0.87
	change	Verb	%	270	4	0.96	-	70.2	365	6	0.97
	@	@	change	136	4	0.98	-	24.3	175	6	0.96
	@	@	changed	103	4	0.94	-	18.7	132	6	0.94
	@	@	changes	6	4	0.82	-	5.7	11	6	0.91
	@	@	changing	25	4	0.94	-	32.4	46	6	0.88
	cheap	Adj	%	185	4	0.90	+	293.8	67	6	0.92
	@	@	cheap	98	4	0.86	+	164.6	34	6	0.91
	@	@	cheaper	71	4	0.92	+	113.9	26	6	0.89
	@	@	cheapest	15	4	0.78	+	16.7	7	6	0.76
	check	Verb	%	104	4	0.87	-	8.5	124	6	0.87
	@	@	check	67	4	0.89	-	6.7	81	6	0.84
	@	@	checked	23	4	0.85	+	1.1	20	6	0.86
	@	@	checking	13	4	0.75	-	8.1	20	6	0.86
	@	@	checks	1	2	0.40	-	2.6	3	6	0.75
	child	NoC	%	267	4	0.92	-	821.0	655	6	0.82
	@	@	child	61	4	0.96	-	288.8	178	6	0.79
	@	@	children	206	4	0.91	-	539.6	477	6	0.83
	Christmas	NoC	:	345	4	0.81	+	824.5	91	6	0.74
	church	NoC	%	126	4	0.43	-	0.0	127	6	0.75
	@	@	church	99	4	0.54	-	5.1	113	6	0.74
	@	@	churches	27	2	0.02	+	22.4	14	6	0.82
	city	NoC	%	26	4	0.76	-	963.8	245	6	0.74
	@	@	cities	4	4	0.87	-	56.3	19	6	0.73
	@	@	city	23	4	0.72	-	911.3	226	6	0.72
	class	NoC	%	100	4	0.88	-	77.1	164	6	0.84
	@	@	class	88	4	0.86	-	25.4	121	6	0.80
	@	@	classes	11	4	0.79	-	92.4	43	6	0.86
	clear	Adj	%	45	4	0.86	-	581.2	214	6	0.81
	@	@	clear	42	4	0.87	-	573.2	207	6	0.80
	@	@	clearer	3	4	0.70	-	7.7	7	6	0.80
	clearly	Adv	:	6	4	0.81	-	926.6	176	6	0.76
	client	NoC	%	4	4	0.85	-	868.0	157	6	0.78
