	Word	PoS		FrCo	Ra	DiDe		LogLike	FrTO	Ra	DiCG
	@	@	happens	82	4	0.89	-	179.2	179	6	0.93
	happy	Adj	%	158	4	0.88	-	32.7	206	6	0.91
	@	@	happier	6	4	0.78	-	9.4	12	6	0.86
	@	@	happiest	1	1	0.00	-	2.3	2	5	0.70
	@	@	happy	151	4	0.88	-	25.7	193	6	0.90
	hard	Adj	%	171	4	0.93	-	0.2	174	6	0.88
	@	@	hard	154	4	0.94	+	0.1	152	6	0.87
	@	@	harder	12	4	0.83	-	3.0	16	6	0.89
	@	@	hardest	4	3	0.56	-	0.9	5	6	0.83
	hate	Verb	%	154	4	0.78	+	510.6	28	6	0.86
	@	@	hate	130	4	0.75	+	463.3	21	6	0.85
	@	@	hated	11	4	0.90	+	14.0	4	6	0.77
	@	@	hates	14	4	0.87	+	52.9	2	4	0.63
	have*	Verb	%	21938	4	0.97	+	1803.9	18151	6	0.99
	@	@	'd	712	4	0.91	+	228.0	481	6	0.80
	@	@	's	2595	4	0.95	+	2117.3	1331	6	0.96
	@	@	've	5528	4	0.97	+	930.1	4192	6	0.95
	@	@	had	3081	4	0.94	+	149.9	2667	6	0.89
	@	@	has	1098	4	0.99	-	1160.7	1940	6	0.88
	@	@	have	8093	4	0.98	+	343.9	7074	6	0.97
	@	@	having	488	4	0.94	+	20.0	427	6	0.96
	@	@	of*	343	4	0.87	+	1487.2	38	6	0.58
	he	Pron	%	13583	4	0.96	+	19749.0	5239	6	0.89
	@	@	'im	6	1	0.00	+	36.2	0	1	0.00
	@	@	he	11465	4	0.96	+	16728.7	4412	6	0.88
	@	@	him	2111	4	0.95	+	2996.7	826	6	0.89
	head	NoC	%	226	4	0.92	+	54.5	162	6	0.91
	@	@	head	206	4	0.91	+	76.6	135	6	0.90
	@	@	heads	20	4	0.85	-	5.1	27	6	0.90
	health	NoC	:	37	4	0.89	-	761.0	234	6	0.84
	hear	Verb	%	574	4	0.86	+	68.2	456	6	0.94
	@	@	hear	306	4	0.81	+	74.9	218	6	0.89
	@	@	heard	258	4	0.89	+	20.7	214	6	0.93
	@	@	hearing	8	4	0.88	-	29.4	21	6	0.83
	@	@	hears	2	4	0.62	-	0.7	3	6	0.71
	hell	NoC	%	235	4	0.94	+	831.9	38	6	0.94
	@	@	hell	234	4	0.94	+	829.1	38	6	0.94
	hello	Int	:	392	4	0.85	+	939.5	103	6	0.79
	help	Verb	%	254	4	0.92	-	135.2	386	6	0.96
	@	@	help	193	4	0.91	-	62.7	270	6	0.94
	@	@	helped	20	4	0.84	-	46.0	44	6	0.89
	@	@	helping	23	4	0.90	-	15.9	37	6	0.90
	@	@	helps	18	4	0.91	-	28.6	36	6	0.91
	her*	Det	:	1052	4	0.96	+	1793.5	365	6	0.96
	here	Adv	:	2003	4	0.97	+	561.0	1391	6	0.94
	hey	Int	:	151	4	0.87	+	620.3	19	6	0.85
	high	Adj	%	156	4	0.91	-	361.2	346	6	0.91
	@	@	high	123	4	0.93	-	152.6	227	6	0.91
	@	@	higher	22	4	0.79	-	239.8	96	6	0.89
	@	@	highest	10	4	0.76	-	24.3	23	6	0.87
	his	Det	%	1556	4	0.94	+	260.0	1181	6	0.88
	@	@	his	1556	4	0.94	+	260.2	1181	6	0.88
	hit	Verb	%	136	4	0.90	+	119.4	68	6	0.87
	@	@	hit	112	4	0.89	+	95.9	56	6	0.88
	@	@	hits	9	4	0.82	+	7.7	5	6	0.75
	@	@	hitting	15	4	0.86	+	15.9	7	6	0.81
	hold	Verb	%	207	4	0.98	+	0.0	207	6	0.93
	@	@	held	23	4	0.86	-	157.0	79	6	0.86
	@	@	hold	149	4	0.98	+	95.6	84	6	0.96
	@	@	holding	27	4	0.91	-	3.8	34	6	0.88
	@	@	holds	7	4	0.83	-	2.6	10	6	0.93
	holiday	NoC	%	155	4	0.95	+	21.6	120	6	0.80
	@	@	holiday	122	4	0.94	+	45.8	80	6	0.79
	@	@	holidays	32	4	0.87	-	4.7	41	6	0.81
	home	Adv	:	436	4	0.96	+	766.1	148	6	0.89
	home	NoC	%	217	4	0.96	-	122.0	334	6	0.88
	@	@	home	209	4	0.96	-	24.0	256	6	0.89
	@	@	homes	9	4	0.72	-	301.4	77	6	0.77
	hope	Verb	%	225	4	0.94	-	32.0	282	6	0.88
	@	@	hope	182	4	0.94	-	20.5	223	6	0.88
	@	@	hoped	4	4	0.86	-	28.5	14	6	0.78
	@	@	hopes	2	4	0.65	-	5.3	5	5	0.70
	@	@	hoping	37	4	0.82	-	0.9	40	6	0.87
	horse	NoC	%	90	4	0.76	-	28.0	125	6	0.81
	@	@	horse	60	4	0.74	-	0.3	62	6	0.80
	@	@	horses	30	4	0.71	-	55.6	62	6	0.79
	hospital	NoC	%	104	4	0.93	-	7.8	123	6	0.81
	@	@	hospital	98	4	0.93	+	0.1	96	6	0.81
	@	@	hospitals	6	4	0.85	-	68.4	27	6	0.79
	hot	Adj	%	163	4	0.90	+	295.6	54	6	0.82
	@	@	hot	160	4	0.91	+	299.1	52	6	0.82
	@	@	hotter	2	4	0.40	+	0.7	2	4	0.63
	hour	NoC	%	441	4	0.88	+	58.6	346	6	0.87
	@	@	hour	249	4	0.87	+	110.7	156	6	0.91
	@	@	hours	192	4	0.89	+	0.1	190	6	0.82
	house	NoC	%	644	4	0.92	+	94.8	497	6	0.90
	@	@	house	568	4	0.92	+	177.1	386	6	0.90
	@	@	houses	75	4	0.85	-	34.3	111	6	0.84
	housing	NoC	%	10	4	0.80	-	541.2	124	6	0.80
	@	@	housing	10	4	0.80	-	540.3	124	6	0.80
	how	Adv	:	1989	4	0.95	+	38.7	1818	6	0.93
	however	Adv	:	16	4	0.80	-	538.8	140	6	0.86
	hundred	NoC	%	735	4	0.95	-	715.9	1271	6	0.75
	@	@	hundred	712	4	0.95	-	701.2	1235	6	0.74
	@	@	hundreds	23	4	0.85	-	15.2	36	6	0.87
	I / i	Lett	:	116	4	0.85	-	231.3	246	6	0.94
	I	Pron	%	43353	4	0.99	+	28571.9	24053	6	0.95
	@	@	I	39817	4	0.99	+	25333.8	22356	6	0.94
	@	@	me	3536	4	0.96	+	3378.4	1698	6	0.95
	idea	NoC	%	206	4	0.91	-	315.9	402	6	0.94
	@	@	idea	186	4	0.92	-	128.8	298	6	0.96
	@	@	ideas	20	4	0.87	-	301.3	104	6	0.75
	if	Conj	:	4120	4	0.98	-	284.6	4835	6	0.94
	important	Adj	:	48	4	0.89	-	1718.6	439	6	0.90
	in	Adv	:	1576	4	0.94	+	387.9	1122	6	0.91
	in	Prep	:	8506	4	0.97	-	6113.4	13731	6	0.95
	in~*	Verb	:	452	4	0.89	+	2859.5	13	6	0.73
	in terms of	Prep	:	7	4	0.75	-	1262.4	235	6	0.86
	include	Verb	%	15	4	0.83	-	505.6	133	6	0.81
	@	@	include	7	4	0.89	-	192.7	54	6	0.83
	@	@	included	6	4	0.66	-	169.8	46	6	0.77
	@	@	includes	2	3	0.58	-	124.5	29	6	0.79
	@	@	including	0	0	0.00	-	24.0	4	6	0.77
	income	NoC	%	27	4	0.54	-	328.5	125	6	0.85
	@	@	income	26	4	0.53	-	299.5	117	6	0.84
	@	@	incomes	1	2	0.36	-	31.7	8	6	0.73
	increase	Verb	%	16	4	0.72	-	528.3	139	6	0.81
	@	@	increase	11	4	0.69	-	212.9	67	6	0.82
	@	@	increased	3	4	0.73	-	166.4	37	6	0.82
	@	@	increases	1	2	0.36	-	45.7	10	6	0.72
	@	@	increasing	2	3	0.46	-	113.1	25	6	0.73
	indeed	Adv	:	49	4	0.76	-	682.4	245	6	0.85
	industry	NoC	%	13	4	0.43	-	611.5	144	6	0.82
	@	@	industries	2	3	0.42	-	84.2	21	6	0.75
	@	@	industry	10	4	0.42	-	527.5	123	6	0.82
	information	NoC	%	36	4	0.87	-	1258.2	323	6	0.90
	@	@	information	35	4	0.87	-	1259.9	323	6	0.90
int	Uncl	:	135	4	0.68	+	760.4	7	6	0.80		
	interest	NoC	%	50	4	0.94	-	649.5	239	6	0.86
	@	@	interest	45	4	0.94	-	474.6	193	6	0.87
	@	@	interests	5	4	0.78	-	190.1	46	6	0.79
	interested	Adj	:	60	4	0.92	-	177.5	145	6	0.90
	interesting	Adj	:	79	4	0.90	-	233.7	191	6	0.89
	into	Prep	:	670	4	0.95	-	1116.2	1339	6	0.96
	involve	Verb	%	24	4	0.95	-	486.2	150	6	0.89
	@	@	involve	4	4	0.78	-	102.5	29	6	0.83
	@	@	involved	16	4	0.86	-	270.9	89	6	0.91
	@	@	involves	3	4	0.73	-	51.5	16	6	0.91
	@	@	involving	1	3	0.57	-	64.3	15	6	0.73
	involved	Adj	:	17	4	0.84	-	432.9	124	6	0.91
	issue	NoC	%	10	4	0.65	-	1709.1	317	6	0.83
	@	@	issue	5	4	0.59	-	1029.4	186	6	0.81
	@	@	issues	5	4	0.70	-	681.3	131	6	0.86
	it	Pron	%	30417	4	0.99	+	9929.0	20465	6	0.96
	@	@	it	30417	4	0.99	+	9928.5	20465	6	0.96
	item	NoC	%	13	4	0.58	-	735.8	167	6	0.77
	@	@	item	5	4	0.52	-	547.8	110	6	0.70
	@	@	items	8	4	0.60	-	200.8	56	6	0.89
	its	Det	:	218	4	0.60	-	318.0	420	6	0.88
	itself	Pron	:	33	4	0.88	-	412.2	154	6	0.94
	Jesus	NoP	:	58	4	0.69	-	137.9	129	6	0.80
	job	NoC	%	369	4	0.94	-	239.1	583	6	0.89
	@	@	job	316	4	0.93	-	82.5	428	6	0.87
	@	@	jobs	53	4	0.93	-	257.3	156	6	0.91
	John	NoP	:	232	4	0.80	-	22.6	280	6	0.85
	join	Verb	%	68	4	0.89	-	118.0	138	6	0.93
	@	@	join	40	4	0.91	-	45.8	72	6	0.95
	@	@	joined	17	4	0.75	-	51.6	41	6	0.85
	@	@	joining	9	4	0.95	-	23.2	21	6	0.79
	@	@	joins	2	4	0.74	-	1.8	4	6	0.76
	just	Adv	:	4621	4	0.96	+	1171.3	3273	6	0.95
	K / k	Lett	%	49	4	0.82	-	312.0	162	6	0.82
	@	@	k	37	4	0.90	-	279.6	133	6	0.83
	@	@	k.	12	4	0.53	-	36.5	29	6	0.78
	keep	Verb	%	782	4	0.94	+	157.6	576	6	0.90
	@	@	keep	539	4	0.94	+	126.2	387	6	0.89
	@	@	keeping	39	4	0.90	-	15.7	57	6	0.94
	@	@	keeps	76	4	0.95	+	108.6	30	6	0.91
	@	@	kept	127	4	0.94	+	13.3	103	6	0.84
	kid	NoC	%	217	4	0.88	+	223.3	100	6	0.82
	@	@	kid	48	4	0.88	+	88.2	16	6	0.69
	@	@	kids	169	4	0.82	+	145.0	85	6	0.81
	kind	NoC	%	115	4	0.88	-	900.9	422	6	0.86
	@	@	kind	109	4	0.88	-	771.8	381	6	0.87
	@	@	kinds	6	4	0.87	-	140.2	42	6	0.74
	kitchen	NoC	%	139	4	0.89	+	328.4	37	6	0.85
	@	@	kitchen	136	4	0.90	+	356.1	33	6	0.86
	@	@	kitchens	2	4	0.65	-	2.2	4	4	0.68
	knock	Verb	%	129	4	0.94	+	134.4	60	6	0.92
	@	@	knock	56	4	0.92	+	83.6	21	6	0.84
	@	@	knocked	50	4	0.94	+	57.3	22	6	0.89
	@	@	knocking	21	4	0.88	+	5.4	15	6	0.84
	@	@	knocks	3	4	0.83	+	0.8	2	4	0.52
	know	Verb	%	8304	4	0.97	+	5415.6	4624	6	0.90
	@	@	knew	196	4	0.95	+	33.2	149	6	0.84
	@	@	know	7527	4	0.97	+	4883.2	4198	6	0.90
	@	@	knowing	29	4	0.96	-	5.3	37	6	0.94
	@	@	known	59	4	0.91	-	91.7	115	6	0.95
	@	@	knows	161	4	0.97	+	85.9	95	6	0.93
	@	@	~no*	332	4	0.86	+	1601.0	29	6	0.76
	L / l	Lett	%	71	4	0.69	-	65.6	121	6	0.80
	@	@	l	68	4	0.67	-	48.6	110	6	0.82
	@	@	l.	3	4	0.73	-	27.7	11	5	0.39
	labour*	Adj	:	29	4	0.69	-	572.1	178	6	0.77
	lady	NoC	%	139	4	0.90	-	0.0	140	6	0.88
	@	@	ladies	28	4	0.74	-	36.6	52	6	0.87
	@	@	lady	112	4	0.93	+	13.6	88	6	0.87
	land	NoC	%	35	4	0.80	-	925.9	261	6	0.68
	@	@	land	34	4	0.80	-	921.7	257	6	0.68
	@	@	lands	1	4	0.80	-	6.7	4	6	0.90
	large	Adj	%	55	4	0.93	-	497.0	217	6	0.87
	@	@	large	44	4	0.92	-	361.2	165	6	0.87
	@	@	larger	9	4	0.84	-	81.1	35	6	0.81
	@	@	largest	3	3	0.44	-	58.2	17	6	0.78
	last	Ord	:	876	4	0.96	+	69.8	727	6	0.94
	late	Adj	%	163	4	0.94	+	1.0	155	6	0.95
	@	@	late	127	4	0.94	+	45.0	84	6	0.91
	@	@	later	21	4	0.86	-	34.2	42	6	0.92
	@	@	latest	14	4	0.80	-	24.4	29	6	0.79
	later	Adv	:	177	4	0.98	-	0.3	181	6	0.93
	laugh	Verb	%	139	4	0.90	+	524.9	20	6	0.95
	@	@	laugh	62	4	0.91	+	254.9	8	6	0.87
	@	@	laughed	17	4	0.87	+	49.8	4	6	0.78
	@	@	laughing	57	4	0.81	+	213.5	9	6	0.87
	law	NoC	%	29	4	0.89	-	525.0	169	6	0.86
	@	@	law	26	4	0.91	-	373.2	131	6	0.87
	@	@	laws	3	4	0.56	-	160.6	38	6	0.69
	lead	Verb	%	25	4	0.89	-	402.8	137	6	0.89
	@	@	lead	12	4	0.87	-	148.1	56	6	0.91
	@	@	leading	5	4	0.73	-	57.6	22	6	0.87
	@	@	leads	6	4	0.70	-	40.9	20	6	0.74
	@	@	led	3	4	0.53	-	174.4	39	6	0.84
	learn	Verb	%	106	4	0.94	-	99.6	182	6	0.88
	@	@	learn	57	4	0.93	-	67.9	104	6	0.87
	@	@	learned	5	4	0.89	-	25.3	16	6	0.81
	@	@	learning	21	4	0.88	-	3.5	27	6	0.82
	@	@	learns	1	3	0.67	-	4.8	2	6	0.83
	@	@	learnt	22	4	0.89	-	11.5	33	6	0.92
	leave	Verb	%	812	4	0.97	+	371.7	503	6	0.93
	@	@	leave	403	4	0.97	+	311.4	211	6	0.91
	@	@	leaves	20	4	0.82	+	0.8	17	6	0.89
	@	@	leaving	48	4	0.94	+	3.1	41	6	0.92
	@	@	left	341	4	0.93	+	101.3	234	6	0.90
	leg	NoC	%	162	4	0.84	+	252.3	60	6	0.84
	@	@	leg	72	4	0.86	+	72.9	34	6	0.81
	@	@	legs	89	4	0.79	+	193.5	26	6	0.78
	less	Adv	:	60	4	0.90	-	231.6	160	6	0.92
	let	Verb	%	517	4	0.93	+	148.6	357	6	0.94
	@	@	let	481	4	0.93	+	148.1	328	6	0.94
	@	@	lets	13	4	0.91	+	0.0	13	6	0.81
	@	@	letting	22	4	0.88	+	4.8	16	6	0.92
	let's	Verb	:	345	4	0.94	-	56.0	439	6	0.93
	letter	NoC	%	189	4	0.96	-	0.1	192	6	0.90
	@	@	letter	127	4	0.95	-	1.4	136	6	0.88
	@	@	letters	62	4	0.92	+	1.3	56	6	0.90
	level	NoC	%	54	4	0.88	-	1008.5	320	6	0.86
	@	@	level	39	4	0.88	-	814.3	249	6	0.84
	@	@	levels	14	4	0.88	-	196.7	71	6	0.91
	life	NoC	%	202	4	0.94	-	388.9	423	6	0.90
	@	@	life	185	4	0.95	-	296.4	366	6	0.91
	@	@	lives	17	4	0.70	-	108.3	57	6	0.81
	light	NoC	%	194	4	0.95	+	106.9	114	6	0.88
	@	@	light	116	4	0.94	+	54.6	72	6	0.86
	@	@	lights	78	4	0.93	+	53.6	43	6	0.76
	like	Adv	:	1332	4	0.86	+	2666.6	410	6	0.88
	like	Prep	:	2400	4	0.94	+	1604.7	1325	6	0.91
	like	Verb	%	1512	4	0.96	+	694.2	936	6	0.94
	@	@	like	1349	4	0.96	+	506.9	879	6	0.93
	@	@	liked	71	4	0.94	+	48.1	39	6	0.84
	@	@	likes	89	4	0.94	+	302.4	15	6	0.81
	@	@	liking	3	3	0.57	+	0.0	3	6	0.61
	likely	Adj	:	40	4	0.88	-	229.8	126	6	0.88
	line	NoC	%	150	4	0.92	-	237.8	296	6	0.96
	@	@	line	107	4	0.90	-	227.7	231	6	0.96
	@	@	lines	43	4	0.90	-	21.8	65	6	0.92
	list	NoC	%	73	4	0.92	-	155.1	158	6	0.85
	@	@	list	69	4	0.92	-	133.3	144	6	0.85
	@	@	lists	4	4	0.79	-	24.3	13	6	0.84
	listen	Verb	%	258	4	0.85	+	99.3	167	6	0.82
	@	@	listen	183	4	0.84	+	188.3	85	6	0.87
	@	@	listened	16	4	0.83	+	1.4	13	6	0.90
	@	@	listening	54	4	0.87	-	6.5	67	6	0.55
	@	@	listens	4	4	0.65	+	5.4	2	4	0.64
	little	Adj	:	974	4	0.94	+	743.5	513	6	0.90
	live	Verb	%	340	4	0.92	-	5.7	369	6	0.88
	@	@	live	157	4	0.91	-	4.5	174	6	0.93
	@	@	lived	68	4	0.86	-	15.3	90	6	0.75
	@	@	lives	56	4	0.92	+	78.7	22	6	0.91
	@	@	living	60	4	0.83	-	18.5	83	6	0.83
	load	NoC	%	195	4	0.92	+	367.3	63	6	0.84
	@	@	load	79	4	0.90	+	95.1	34	6	0.80
	@	@	loads	116	4	0.91	+	291.6	29	6	0.82
	local	Adj	:	41	4	0.86	-	2053.7	479	6	0.87
	London	NoP	:	109	4	0.91	-	29.5	148	6	0.89
	long	Adj	%	416	4	0.94	+	0.9	404	6	0.97
	@	@	long	376	4	0.94	+	2.4	357	6	0.97
	@	@	longer	34	4	0.87	-	2.5	40	6	0.90
	@	@	longest	6	4	0.75	-	0.1	7	6	0.59
	long	Adv	:	190	4	0.94	+	59.3	129	6	0.91
	look	NoC	%	314	4	0.94	+	192.5	178	6	0.90
	@	@	look	304	4	0.94	+	183.3	174	6	0.90
	@	@	looks	10	4	0.89	+	9.9	5	6	0.91
	look	Verb	%	2591	4	0.96	+	1280.1	1572	6	0.96
	@	@	look	1581	4	0.95	+	1293.6	810	6	0.95
	@	@	looked	255	4	0.94	+	69.2	178	6	0.97
	@	@	looking	379	4	0.98	-	40.2	461	6	0.95
	@	@	looks	377	4	0.98	+	697.0	123	6	0.91
	lord	NoC	%	28	4	0.84	-	951.6	247	6	0.53
	@	@	lord	26	4	0.81	-	784.5	212	6	0.52
	@	@	lords	2	4	0.73	-	174.6	35	6	0.12
	lose	Verb	%	251	4	0.93	-	1.3	262	6	0.94
	@	@	lose	76	4	0.87	+	3.3	67	6	0.95
	@	@	loses	3	4	0.75	-	5.6	7	6	0.70
	@	@	losing	23	4	0.86	-	5.3	30	6	0.91
	@	@	lost	149	4	0.94	-	1.7	159	6	0.91
	lot*	NoC	%	840	4	0.95	-	168.2	1096	6	0.89
	@	@	lot	840	4	0.95	-	168.5	1096	6	0.89
	lots	Pron	:	107	4	0.86	-	21.6	139	6	0.80
	love	NoC	%	189	4	0.88	+	333.9	64	6	0.70
	@	@	love	188	4	0.88	+	333.1	64	6	0.70
	love	Verb	%	307	4	0.93	+	677.8	87	6	0.81
	@	@	love	246	4	0.94	+	702.6	54	6	0.84
	@	@	loved	21	4	0.81	+	0.0	20	6	0.79
	@	@	loves	38	4	0.92	+	89.9	10	6	0.63
	@	@	loving	2	4	0.88	-	0.7	3	5	0.54
	lovely	Adj	%	437	4	0.91	+	1303.9	90	6	0.88
	@	@	lovely	437	4	0.91	+	1306.4	90	6	0.88
	low	Adj	%	74	4	0.94	-	251.5	189	6	0.92
	@	@	low	52	4	0.94	-	125.0	117	6	0.91
	@	@	lower	19	4	0.89	-	99.3	58	6	0.88
	@	@	lowest	3	4	0.60	-	36.1	14	6	0.88
	M / m	Lett	%	109	4	0.82	-	636.4	349	6	0.90
	@	@	m	104	4	0.81	-	621.1	336	6	0.89
	@	@	m.	5	4	0.95	-	16.3	12	6	0.81
	machine	NoC	%	124	4	0.92	+	4.8	109	6	0.73
	@	@	machine	107	4	0.94	+	32.5	74	6	0.74
	@	@	machines	17	4	0.80	-	34.4	36	6	0.71
	main	Adj	:	66	4	0.94	-	263.4	179	6	0.95
	major	Adj	:	15	4	0.82	-	683.9	165	6	0.85
	make	Verb	%	1517	4	0.97	-	568.4	2166	6	0.96
	@	@	made	372	4	0.95	-	385.3	653	6	0.96
	@	@	make	814	4	0.97	-	196.7	1089	6	0.95
	@	@	makes	172	4	0.99	+	4.1	155	6	0.94
	@	@	making	159	4	0.94	-	140.1	269	6	0.94
	man	NoC	%	541	4	0.86	-	87.2	688	6	0.85
	@	@	man	436	4	0.83	+	17.2	383	6	0.86
	@	@	men	105	4	0.97	-	491.5	304	6	0.81
	management	NoC	%	7	4	0.78	-	857.7	168	6	0.82
	@	@	management	7	4	0.79	-	854.2	166	6	0.82
	manager	NoC	%	31	4	0.89	-	315.7	130	6	0.84
	@	@	manager	26	4	0.93	-	187.0	92	6	0.87
	@	@	managers	5	4	0.65	-	140.8	38	6	0.75
	many	DetP	:	457	4	0.92	-	438.7	788	6	0.93
	Mark	NoP	:	120	4	0.79	+	255.8	35	6	0.76
	market	NoC	%	78	4	0.87	-	242.2	191	6	0.92
	@	@	market	76	4	0.88	-	196.9	175	6	0.93
	@	@	markets	2	3	0.59	-	63.4	17	6	0.75
	matter	NoC	%	96	4	0.87	-	372.5	257	6	0.80
	@	@	matter	88	4	0.84	-	167.7	184	6	0.83
	@	@	matters	8	3	0.42	-	294.1	74	6	0.73
	matter	Verb	%	149	4	0.98	+	100.6	82	6	0.93
	@	@	matter	141	4	0.98	+	112.6	73	6	0.92
	@	@	mattered	0	2	0.42	-	3.2	2	5	0.57
	@	@	matters	7	4	0.88	+	0.0	7	6	0.88
	may	VMod	:	151	4	0.87	-	1866.5	705	6	0.92
	maybe	Adv	:	236	4	0.91	-	103.3	345	6	0.90
	mean	Verb	%	2922	4	0.94	+	439.3	2252	6	0.94
	@	@	mean	2675	4	0.93	+	560.0	1960	6	0.93
	@	@	meaning	9	4	0.81	+	0.1	8	6	0.90
	@	@	means	129	4	0.92	-	73.8	198	6	0.95
	@	@	meant	110	4	0.96	+	15.1	86	6	0.93
	meet	Verb	%	144	4	0.94	-	164.5	259	6	0.95
	@	@	meet	58	4	0.93	-	129.6	127	6	0.95
	@	@	meeting	20	4	0.76	-	52.4	47	6	0.89
	@	@	meets	4	4	0.63	-	11.6	9	6	0.85
	@	@	met	62	4	0.98	-	7.3	76	6	0.88
	meeting	NoC	%	48	4	0.85	-	1266.6	357	6	0.90
	@	@	meeting	39	4	0.80	-	947.5	273	6	0.88
	@	@	meetings	9	4	0.86	-	320.6	83	6	0.92
	member	NoC	%	29	4	0.68	-	2396.9	500	6	0.85
	@	@	member	15	4	0.74	-	502.9	132	6	0.85
	@	@	members	14	4	0.54	-	1931.7	368	6	0.85
	mention	Verb	%	72	4	0.92	-	452.1	237	6	0.95
	@	@	mention	28	4	0.87	-	69.5	64	6	0.95
	@	@	mentioned	40	4	0.89	-	369.2	159	6	0.95
	@	@	mentioning	3	4	0.63	-	26.2	11	6	0.88
	@	@	mentions	1	3	0.57	-	5.2	4	6	0.65
	mhm	Int	:	392	4	0.89	-	1158.2	947	6	0.70
	might	VMod	:	856	4	0.95	+	19.6	777	6	0.97
	million	NoC	%	52	4	0.80	-	735.8	262	6	0.82
	@	@	million	42	4	0.78	-	719.7	236	6	0.80
	@	@	millions	10	4	0.84	-	33.3	26	6	0.82
	mind	NoC	%	125	4	0.97	-	139.9	224	6	0.93
	@	@	mind	117	4	0.97	-	97.5	195	6	0.92
	@	@	minds	8	4	0.82	-	61.1	28	6	0.91
	mind	Verb	%	463	4	0.92	+	1171.9	115	6	0.86
	@	@	mind	454	4	0.92	+	1239.3	104	6	0.84
	@	@	minded	6	4	0.96	-	5.0	11	6	0.82
	mine	Pron	:	344	4	0.95	+	1127.9	63	6	0.93
	minute	NoC	%	569	4	0.94	+	140.2	405	6	0.84
	@	@	minute	322	4	0.95	+	338.1	148	6	0.88
	@	@	minutes	247	4	0.86	-	1.0	257	6	0.81
	miss	Verb	%	192	4	0.90	+	73.4	124	6	0.89
	@	@	miss	92	4	0.86	+	44.6	56	6	0.76
	@	@	missed	72	4	0.92	+	29.2	46	6	0.91
	@	@	misses	3	4	0.60	+	6.0	1	4	0.63
	@	@	missing	25	4	0.97	+	1.3	21	6	0.89
	mm	Int	:	5202	4	0.91	+	9146.9	1768	6	0.73
	moment	NoC	%	185	4	0.95	-	310.0	370	6	0.88
	@	@	moment	183	4	0.95	-	272.2	355	6	0.88
	@	@	moments	1	3	0.67	-	66.2	16	6	0.69
	Monday	NoP	%	197	4	0.97	+	205.1	91	6	0.86
	@	@	Monday	191	4	0.98	+	199.8	88	6	0.87
	@	@	Mondays	6	4	0.63	+	5.3	3	5	0.65
	money	NoC	%	678	4	0.94	+	18.5	609	6	0.94
	@	@	money	678	4	0.94	+	18.6	609	6	0.94
	month	NoC	%	294	4	0.92	-	84.2	402	6	0.89
	@	@	month	140	4	0.97	-	3.0	153	6	0.84
	@	@	months	154	4	0.87	-	111.9	249	6	0.90
	more	Adv	:	342	4	0.97	-	979.5	818	6	0.95
	more	DetP	:	827	4	0.97	-	112.4	1032	6	0.91
	morning	NoC	%	648	4	0.94	+	469.5	347	6	0.90
	@	@	morning	634	4	0.94	+	465.9	339	6	0.90
	@	@	mornings	13	4	0.89	+	4.7	9	6	0.76
	most	Adv	:	92	4	0.89	-	456.8	273	6	0.91
	most	DetP	:	140	4	0.96	-	427.8	343	6	0.93
	mother	NoC	%	239	4	0.91	+	59.1	170	6	0.73
	@	@	mother	232	4	0.91	+	89.8	150	6	0.71
	@	@	mothers	6	4	0.66	-	33.5	19	6	0.85
	motion	NoC	%	5	3	0.24	-	1231.0	220	6	0.76
	@	@	motion	4	3	0.28	-	1108.1	197	6	0.75
	@	@	motions	1	1	0.00	-	123.2	23	6	0.82
	move	Verb	%	360	4	0.94	-	171.1	536	6	0.88
	@	@	move	195	4	0.92	-	92.0	289	6	0.83
	@	@	moved	91	4	0.87	-	15.7	117	6	0.91
	@	@	moves	8	4	0.81	-	4.8	13	6	0.77
	@	@	moving	66	4	0.93	-	70.3	117	6	0.88
	Mr	NoC	%	158	4	0.79	-	2518.0	853	6	0.66
	@	@	Mr	156	4	0.79	-	2498.2	845	6	0.66
	@	@	Mr.	2	2	0.32	-	20.0	8	6	0.61
	Mrs	NoC	%	145	4	0.79	-	3.2	159	6	0.88
	@	@	Mrs	145	4	0.79	-	1.1	153	6	0.88
	@	@	Mrs.	0	1	0.00	-	31.1	6	3	0.18
	much	Adv	:	289	4	0.95	-	350.4	529	6	0.90
	much	DetP	:	829	4	0.97	+	39.9	719	6	0.96
	mum	NoC	%	964	4	0.92	+	5580.4	44	6	0.61
	@	@	mum	951	4	0.92	+	5615.5	39	6	0.57
	@	@	mums	13	4	0.70	+	21.3	4	5	0.73
	mummy	NoC	%	390	4	0.83	+	2792.0	3	4	0.46
	@	@	mummies	2	3	0.47	+	9.3	0	1	0.00
	@	@	mummy	388	4	0.83	+	2790.6	2	4	0.49
	must	VMod	:	716	4	0.97	+	191.0	502	6	0.95
	my	Det	%	3220	4	0.95	+	1451.8	2004	6	0.90
	@	@	me	362	4	0.89	+	648.3	122	6	0.61
	@	@	my	2857	4	0.93	+	1025.7	1882	6	0.91
	myself	Pron	:	177	4	0.92	+	14.3	147	6	0.95
	N / n	Lett	%	87	4	0.82	-	266.3	213	6	0.87
	@	@	n	84	4	0.82	-	258.4	207	6	0.87
	@	@	n.	2	4	0.74	-	7.9	6	6	0.63
	name	NoC	%	418	4	0.90	+	49.9	332	6	0.88
	@	@	name	354	4	0.91	+	73.1	260	6	0.87
	@	@	names	63	4	0.83	-	2.5	71	6	0.86
