	Word	PoS		FrSp	Ra	DiSp		LogLi	FrWr	Ra	DiWr
	@	@	asking	111	10	0.90	+	355.3	57	90	0.95
	@	@	asks	14	10	0.89	-	18.9	20	90	0.91
	at	Prep	:	4115	10	0.94	-	1147.6	4868	90	0.98
	at all	Adv	:	270	10	0.94	+	961.2	134	90	0.94
	at least	Adv	:	165	10	0.93	-	432.6	268	90	0.98
	authority	NoC	%	190	10	0.69	-	644.0	327	90	0.92
	@	@	authorities	72	10	0.68	-	350.4	136	90	0.91
	@	@	authority	118	10	0.69	-	304.8	191	90	0.91
	available	Adj	:	104	10	0.74	-	1531.5	291	90	0.93
	award	NoC	%	20	10	0.70	-	2363.7	188	89	0.36
	@	@	award	13	9	0.70	-	2288.3	163	89	0.27
	@	@	awards	8	9	0.69	-	153.0	25	78	0.83
	away	Adv	:	433	10	0.93	+	115.2	364	90	0.92
	aye	Int	:	414	10	0.72	+	15007.0	10	54	0.77
	B / b	Lett	:	352	10	0.85	+	1561.9	159	90	0.90
	back	Adv	:	1211	10	0.95	+	2229.6	745	90	0.92
	back	NoC	%	277	10	0.90	+	213.5	204	90	0.93
	@	@	back	270	10	0.90	+	259.9	192	90	0.93
	@	@	backs	7	10	0.82	-	30.0	12	88	0.93
	bad	Adj	%	397	10	0.89	+	688.9	248	90	0.96
	@	@	bad	296	10	0.87	+	1262.0	136	90	0.95
	@	@	worse	71	10	0.92	+	5.6	64	90	0.94
	@	@	worst	30	10	0.89	-	70.0	47	90	0.95
	bank	NoC	%	103	10	0.93	-	1043.8	249	90	0.90
	@	@	bank	85	10	0.91	-	565.0	177	90	0.90
	@	@	banks	18	10	0.82	-	547.8	72	90	0.86
	base	Verb	%	85	10	0.75	-	882.7	206	90	0.94
	@	@	base	4	8	0.67	-	2.3	5	83	0.93
	@	@	based	79	10	0.75	-	888.8	199	90	0.94
	@	@	bases	0	0	0.00	-	15.3	1	46	0.86
	@	@	basing	1	7	0.60	-	0.9	2	63	0.90
	be*	Verb	%	57016	10	0.99	+	54270.5	40571	90	0.99
	@	@	'm	2512	10	0.90	+	38492.4	443	90	0.86
	@	@	're	4255	10	0.97	+	93216.8	439	90	0.88
	@	@	's	15818	10	0.90	+	335636.6	1729	90	0.90
	@	@	am	252	10	0.93	+	0.1	250	90	0.91
	@	@	are	4663	10	0.93	-	4.8	4712	90	0.96
	@	@	be	5790	10	0.93	-	1319.9	6742	90	0.97
	@	@	been	2082	10	0.95	-	1693.2	2756	90	0.98
	@	@	being	634	10	0.88	-	763.5	888	90	0.98
	@	@	is	10164	10	0.94	+	37.9	9961	90	0.96
	@	@	was	8097	10	0.93	-	1689.4	9368	90	0.96
	@	@	were	2749	10	0.93	-	858.2	3282	90	0.97
	because*	Conj	:	2039	10	0.92	+	14376.4	715	90	0.97
	because of	Prep	:	142	10	0.86	-	87.5	182	90	0.97
	become	Verb	%	214	10	0.78	-	4821.5	728	90	0.96
	@	@	became	45	10	0.75	-	2381.7	244	90	0.94
	@	@	become	109	10	0.78	-	1866.2	326	90	0.97
	@	@	becomes	36	10	0.78	-	302.9	82	90	0.94
	@	@	becoming	24	10	0.74	-	463.9	77	90	0.97
	bed	NoC	%	194	10	0.77	+	12.8	178	90	0.89
	@	@	bed	177	10	0.76	+	24.6	156	90	0.88
	@	@	beds	17	10	0.82	-	11.1	22	88	0.93
	before	Adv	%	230	10	0.93	+	529.6	133	90	0.93
	before	Conj	:	316	10	0.95	+	4.4	304	90	0.96
	before	Prep	:	220	10	0.92	-	1465.3	459	90	0.98
	begin	Verb	%	99	10	0.81	-	4318.6	480	90	0.95
	@	@	began	25	10	0.78	-	3462.2	262	90	0.91
	@	@	begin	33	10	0.80	-	327.9	80	90	0.97
	@	@	beginning	25	10	0.79	-	208.3	56	90	0.95
	@	@	begins	11	10	0.82	-	229.3	35	90	0.94
	@	@	begun	5	9	0.68	-	578.9	47	90	0.96
	behind	Prep	:	121	10	0.93	-	429.6	211	90	0.93
	believe	Verb	%	290	10	0.87	-	114.2	354	90	0.97
	@	@	believe	257	10	0.88	+	105.7	207	90	0.95
	@	@	believed	17	10	0.75	-	839.4	90	90	0.96
	@	@	believes	11	10	0.68	-	326.8	43	90	0.91
	@	@	believing	5	8	0.71	-	90.3	15	90	0.95
	better	Adv	:	197	10	0.86	+	215.9	137	90	0.95
	between	Prep	:	338	10	0.82	-	5239.2	968	90	0.96
	big	Adj	%	659	10	0.88	+	2861.3	300	90	0.94
	@	@	big	549	10	0.87	+	3054.5	221	90	0.94
	@	@	bigger	76	10	0.86	+	406.4	31	90	0.95
	@	@	biggest	34	10	0.89	-	40.9	48	89	0.89
	bit*	NoC	%	747	10	0.91	+	13606.8	104	90	0.92
	@	@	bit	635	10	0.92	+	12403.1	80	90	0.92
	@	@	bits	112	10	0.89	+	1406.9	25	89	0.91
	black	Adj	%	148	10	0.84	-	351.4	235	90	0.95
	@	@	black	147	10	0.84	-	351.5	234	90	0.95
	@	@	blacker	1	5	0.63	+	0.1	1	35	0.84
	@	@	blackest	0	1	0.00	-	1.8	1	35	0.84
	bloody	Adj	%	248	10	0.64	+	4945.3	30	90	0.87
	@	@	bloodiest	0	2	0.29	-	0.3	0	25	0.79
	@	@	bloody	247	10	0.64	+	4983.3	30	90	0.87
	board	NoC	%	112	10	0.85	-	197.5	168	90	0.92
	@	@	board	100	10	0.84	-	106.7	138	90	0.92
	@	@	boards	12	10	0.84	-	136.2	30	90	0.88
	body	NoC	%	131	10	0.84	-	1695.6	347	90	0.96
	@	@	bodies	22	10	0.77	-	495.8	75	90	0.95
	@	@	body	109	10	0.84	-	1217.2	272	90	0.95
	book	NoC	%	306	10	0.93	-	152.4	382	90	0.95
	@	@	book	220	10	0.92	-	27.4	246	90	0.95
	@	@	books	87	10	0.91	-	196.6	136	90	0.94
	both	Adv	:	111	10	0.85	-	2943.9	409	90	0.96
	both	DetP	:	189	10	0.91	-	626.5	324	90	0.98
	box	NoC	%	164	10	0.84	+	226.3	109	90	0.94
	@	@	box	129	10	0.82	+	201.1	83	90	0.95
	@	@	boxes	35	10	0.84	+	29.3	26	90	0.91
	boy	NoC	%	237	10	0.81	+	30.5	210	90	0.92
	@	@	boy	159	10	0.76	+	59.0	130	90	0.90
	@	@	boys	78	10	0.88	-	1.0	81	90	0.94
	break	Verb	%	147	10	0.93	-	138.1	198	90	0.96
	@	@	break	59	10	0.92	+	0.2	58	90	0.97
	@	@	breaking	21	10	0.89	-	29.0	31	90	0.96
	@	@	breaks	8	10	0.80	-	6.6	11	89	0.94
	@	@	broke	32	10	0.82	-	96.3	54	90	0.93
	@	@	broken	26	10	0.93	-	90.9	45	90	0.97
	bring	Verb	%	430	10	0.97	-	2.4	440	90	0.98
	@	@	bring	216	10	0.96	+	259.4	147	90	0.98
	@	@	bringing	45	10	0.91	-	2.5	49	90	0.97
	@	@	brings	25	10	0.91	-	22.1	33	90	0.96
	@	@	brought	143	10	0.94	-	230.8	211	90	0.97
	Britain	NoP	:	77	10	0.68	-	1857.7	271	90	0.92
	British	Adj	:	141	10	0.72	-	1921.4	382	90	0.93
	build	Verb	%	167	10	0.88	-	217.6	238	90	0.95
	@	@	build	61	10	0.85	-	9.8	69	90	0.95
	@	@	building	19	10	0.87	-	34.1	29	90	0.95
	@	@	builds	5	9	0.75	-	1.5	6	78	0.90
	@	@	built	83	10	0.86	-	214.9	134	90	0.94
	building	NoC	%	144	10	0.85	-	412.1	239	90	0.94
	@	@	building	122	10	0.85	-	125.6	167	90	0.95
	@	@	buildings	22	9	0.77	-	451.2	72	90	0.92
	business	NoC	%	248	10	0.80	-	717.6	411	90	0.93
	@	@	business	225	10	0.81	-	643.4	373	90	0.93
	@	@	businesses	22	9	0.67	-	74.5	38	89	0.90
	but	Conj	:	6366	10	0.98	+	7310.7	4370	90	0.97
	buy	Verb	%	523	10	0.82	+	2425.5	231	90	0.96
	@	@	bought	194	10	0.77	+	1068.8	79	90	0.96
	@	@	buy	261	10	0.83	+	1380.0	108	90	0.96
	@	@	buying	59	10	0.86	+	82.9	39	90	0.95
	@	@	buys	9	10	0.78	+	12.7	6	84	0.89
	by	Prep	:	1663	10	0.84	-	35309.0	5493	90	0.97
	C / c	Lett	:	453	10	0.83	+	5360.2	106	90	0.89
	call	Verb	%	643	10	0.93	+	239.8	523	90	0.97
	@	@	call	290	10	0.94	+	1624.5	117	90	0.95
	@	@	called	306	10	0.91	-	20.3	332	90	0.97
	@	@	calling	30	10	0.87	-	35.1	42	90	0.94
	@	@	calls	18	10	0.88	-	73.7	32	90	0.94
	can	VMod	%	4836	10	0.95	+	16812.5	2421	90	0.97
	@	@	ca~	1248	10	0.85	+	19835.7	210	90	0.89
	@	@	can	3588	10	0.98	+	6572.3	2211	90	0.96
	car	NoC	%	457	10	0.82	+	326.1	341	90	0.93
	@	@	car	379	10	0.80	+	381.2	267	90	0.92
	@	@	cars	78	10	0.88	+	1.7	75	90	0.89
	care	NoC	%	95	10	0.72	-	749.7	210	90	0.90
	@	@	care	95	10	0.72	-	741.6	209	90	0.90
	@	@	cares	0	0	0.00	-	15.1	1	44	0.87
	carry	Verb	%	227	10	0.88	-	295.0	322	90	0.98
	@	@	carried	69	10	0.74	-	470.0	146	90	0.97
	@	@	carries	9	10	0.87	-	70.3	19	90	0.94
	@	@	carry	116	10	0.93	+	24.2	99	90	0.96
	@	@	carrying	33	10	0.90	-	119.9	58	90	0.97
	case	NoC	%	314	10	0.80	-	2028.3	648	90	0.92
	@	@	case	243	10	0.80	-	1106.7	453	90	0.92
	@	@	cases	71	10	0.76	-	1012.9	195	90	0.91
	cause	Verb	%	88	10	0.83	-	982.5	220	90	0.96
